GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0008150	biological_process	34	34	34	0.029
GO:0009987	cellular process	19	19	19	0.457
GO:0071704	organic substance metabolic process	16	16	16	0.543
GO:0044238	primary metabolic process	16	16	16	0.543
GO:0008152	metabolic process	16	16	16	0.543
GO:0050896	response to stimulus	15	15	15	0.571
GO:0043170	macromolecule metabolic process	13	13	13	0.629
GO:0006807	nitrogen compound metabolic process	11	11	11	0.686
GO:0042221	response to chemical	9	9	9	0.743
GO:1901564	organonitrogen compound metabolic proces...	8	8	8	0.771
GO:0044237	cellular metabolic process	8	8	8	0.771
GO:0065007	biological regulation	8	8	8	0.771
GO:0050789	regulation of biological process	8	8	8	0.771
GO:0006950	response to stress	7	7	7	0.800
GO:1901576	organic substance biosynthetic process	7	7	7	0.800
GO:0019538	protein metabolic process	7	7	7	0.800
GO:0009058	biosynthetic process	7	7	7	0.800
GO:0048856	anatomical structure development	6	6	6	0.829
GO:0032501	multicellular organismal process	6	6	6	0.829
GO:0032502	developmental process	6	6	6	0.829
