GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0008150	biological_process	37	37	37	0.0001
GO:0009987	cellular process	21	21	21	0.0981
GO:0065007	biological regulation	17	17	17	0.1793
GO:0050789	regulation of biological process	16	16	16	0.2049
GO:0050794	regulation of cellular process	14	14	14	0.2632
GO:0008152	metabolic process	13	13	13	0.2961
GO:0050896	response to stimulus	12	12	12	0.3316
GO:0071704	organic substance metabolic process	12	12	12	0.3316
GO:1901576	organic substance biosynthetic process	11	11	11	0.3698
GO:0044249	cellular biosynthetic process	11	11	11	0.3698
GO:0006807	nitrogen compound metabolic process	11	11	11	0.3698
GO:0009058	biosynthetic process	11	11	11	0.3698
GO:0044237	cellular metabolic process	11	11	11	0.3698
GO:0044238	primary metabolic process	11	11	11	0.3698
GO:0043170	macromolecule metabolic process	11	11	11	0.3698
GO:0009059	macromolecule biosynthetic process	10	10	10	0.4109
GO:0019222	regulation of metabolic process	10	10	10	0.4109
GO:0051171	regulation of nitrogen compound metaboli...	9	9	9	0.4550
GO:0060255	regulation of macromolecule metabolic pr...	9	9	9	0.4550
GO:0051716	cellular response to stimulus	8	8	8	0.5020
