GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0044238	primary metabolic process	296	296	296	1.1e-05
GO:0044237	cellular metabolic process	312	312	312	8.0e-05
GO:0006950	response to stress	128	128	128	0.00021
GO:0009987	cellular process	471	471	471	0.00056
GO:0071704	organic substance metabolic process	332	332	332	0.00097
GO:0051716	cellular response to stimulus	103	103	103	0.00124
GO:0050794	regulation of cellular process	167	167	167	0.00147
GO:1901360	organic cyclic compound metabolic proces...	166	166	166	0.00159
GO:0034641	cellular nitrogen compound metabolic pro...	165	165	165	0.00172
GO:0007275	multicellular organism development	98	98	98	0.00176
GO:0016043	cellular component organization	98	98	98	0.00176
GO:0009628	response to abiotic stimulus	98	98	98	0.00176
GO:0006725	cellular aromatic compound metabolic pro...	162	162	162	0.00217
GO:0009059	macromolecule biosynthetic process	159	159	159	0.00273
GO:0019538	protein metabolic process	91	91	91	0.00286
GO:0046483	heterocycle metabolic process	158	158	158	0.00295
GO:0006810	transport	85	85	85	0.00432
GO:0006355	regulation of DNA-templated transcriptio...	77	77	77	0.00743
GO:0010033	response to organic substance	76	76	76	0.00794
