GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0008150	biological_process	27	27	27	1.3e-05
GO:0009987	cellular process	16	16	16	0.0032
GO:0008152	metabolic process	13	13	13	0.0136
GO:0050896	response to stimulus	10	10	10	0.0460
GO:0071704	organic substance metabolic process	9	9	9	0.0664
GO:0044237	cellular metabolic process	8	8	8	0.0943
GO:0044238	primary metabolic process	8	8	8	0.0943
GO:0006807	nitrogen compound metabolic process	8	8	8	0.0943
GO:0009058	biosynthetic process	7	7	7	0.1321
GO:0043170	macromolecule metabolic process	7	7	7	0.1321
GO:0065007	biological regulation	7	7	7	0.1321
GO:0050789	regulation of biological process	7	7	7	0.1321
GO:0006950	response to stress	6	6	6	0.1824
