annotation	A_thaliana
jg28457	AT1G01630.1
jg28458	AT1G01620.1
jg28459	AT1G01610.1
jg28509	AT1G01180.1
jg28545	AT1G02370.1
jg28546	AT1G02380.1
jg28547	AT1G02390.1
jg28548	AT1G02400.1
jg28549	AT1G02405.1
jg28678	AT4G03490.3
jg28681	AT1G03680.1
jg29016	AT1G06680.1
jg29017	AT1G06690.1
jg29018	AT1G06700.1
jg29116	AT1G07640.3
jg29220	AT1G08570.1
jg29221	AT1G08580.1
jg29222	AT1G08590.1
jg29236	AT1G08750.1
jg29237	AT1G08760.1
jg29238	AT1G08770.1
jg29272	AT1G09155.1
jg29273	AT1G09157.1
jg29274	AT1G09160.1
jg29275	AT1G09170.5
jg29353	AT1G09810.1
jg29354	AT1G09812.1
jg29417	AT1G10330.1
jg29419	AT1G10350.1
jg29420	AT1G10360.1
jg29651	AT1G12080.2
jg29652	AT1G12090.1
jg29770	AT1G13100.1
jg29771	AT1G13110.1
jg29805	AT1G13420.1
jg29806	AT1G13430.1, AT2G14920.1
jg29807	AT1G13440.1
jg29832	AT1G13670.1
jg29833	AT1G13680.1
jg29835	AT1G13690.1
jg29836	AT1G13700.1
jg29958	AT1G14740.1
jg29960	AT1G14750.3
jg29961	AT1G14755.1
jg30021	AT1G15350.1
jg30022	AT1G15360.1
jg30159	AT1G16760.2
jg30160	AT1G16770.1
jg30161	AT1G16780.1
jg30247	AT1G17230.2
jg30248	AT1G17240.2
jg30369	AT1G18470.1
jg30370	AT1G18480.1
jg30579	AT1G20430.1
jg30580	AT1G20440.1
jg30581	AT1G20450.1
jg30625	AT1G20803.1
jg30626	AT1G20810.1
jg30807	AT1G22460.1
jg30852	AT1G22930.1
jg30853	AT1G22940.1
jg30854	AT1G22950.1
jg30856	AT1G22970.1
jg30857	AT1G22980.2
jg30858	AT1G22985.1
jg30859	AT1G22990.1
jg30941	AT1G23720.2
jg31045	AT1G26945.1
jg31046	AT1G26940.1
jg31181	AT1G25350.2
jg31182	AT1G25340.3
