annotation	A_thaliana
jg29016	AT1G06680.1
jg29017	AT1G06690.1
jg29272	AT1G09155.1
jg30369	AT1G18470.1
jg30370	AT1G18480.1
jg30579	AT1G20430.1
jg30580	AT1G20440.1
jg30581	AT1G20450.1
jg30941	AT1G23720.2
jg31898	AT1G32450.1
jg2097	AT1G66400.1
jg2485	AT1G69040.2
jg2885	AT1G72510.1, AT2G09970.1
jg24274	AT3G04110.1
jg26446	AT3G22230.1
jg27944	AT2G18020.1
jg16889	AT2G24180.1
jg16890	AT2G24190.2
jg17519	AT2G26840.2
jg17987	AT2G29660.1
jg19861	AT2G44940.1
jg13216	AT3G25577.1
jg13399	AT3G26950.1
jg13643	AT3G28700.1
jg13646	AT3G28710.1
jg14135	AT3G44230.1
jg14274	AT3G45130.2
jg14392	AT3G46130.1
jg15222	AT3G52960.1
jg15223	AT3G52970.2
jg15224	AT3G52980.1
jg16059	AT1G06630.1
jg16060	AT3G60050.1
jg5766	AT5G19130.1
jg5767	AT5G19140.1
jg6652	AT5G27490.1
jg6653	AT5G27470.1
jg7622	AT4G12130.1
jg7624	AT4G12150.1, AT4G12140.1
jg7625	AT4G05350.1, AT4G12220.1, AT4G12210.1
jg9223	AT4G31770.1
jg21015	AT5G42820.1
jg22636	AT5G57360.2
jg22637	AT5G57370.1
jg22927	AT5G59880.1
jg23412	AT5G64220.1
jg23413	AT5G64230.1
