annotation	A_thaliana
jg30157	AT1G16750.1
jg30984	AT1G24140.1
jg30985	AT1G24145.1
jg32142	AT1G34670.1
jg32809	AT1G47670.1
jg32951	AT1G48700.4
jg2097	AT1G66400.1
jg25383	AT3G13830.1, AT1G11810.1
jg25384	AT3G13840.1
jg25385	AT3G13845.1
jg25958	AT4G09870.1
jg25959	AT2G07140.1, AT3G44120.1
jg25960	AT3G18330.1
jg27039	AT2G05260.1
jg27153	AT2G06040.1
jg27641	AT2G15970.1
jg27642	AT2G15980.1
jg27643	AT2G16005.1
jg27660	AT2G16220.1
jg14860	AT3G49980.2
jg4529	AT5G07030.1
jg7111	AT4G08620.1
jg7112	AT4G08620.1
jg7872	AT4G02860.1
jg7873	AT4G02870.1
jg8411	AT4G39410.1
jg8706	AT4G36240.1
jg8707	AT4G36230.1
jg9959	AT4G25110.1
jg11618	AT4G13070.1
jg11706	AT4G12640.1
jg11945	AT5G35580.2
jg20895	AT5G43360.1
jg20896	AT5G43360.1
jg20897	AT5G43360.1
jg20974	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20975	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20976	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20977	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20978	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20979	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg21017	AT5G42810.1
