annotation	A_thaliana
jg30503	AT1G19790.1
jg30781	AT1G22200.1
jg31068	AT1G26890.1
jg31971	AT1G33220.1
jg31973	AT1G33230.2
jg32223	AT1G35530.2
jg32224	AT1G35400.1, AT1G35410.1
jg32779	AT1G47480.1
jg32782	AT1G47510.1
jg33266	AT1G51220.1
jg1124	AT1G58520.1
jg2320	AT1G67770.1
jg2875	AT1G72416.3
jg2876	AT1G72420.1
jg23957	AT3G01410.1
jg24818	AT3G09000.1
jg24819	AT3G09010.1
jg25845	AT3G17410.1
jg25846	AT3G17420.1
jg26396	AT3G21910.1
jg26398	AT3G21930.1, AT3G21920.2
jg26399	AT3G21930.1, AT3G21920.2
jg26530	AT3G22942.1
jg26959	AT4G16095.1
jg26960	AT2G04480.1
jg27039	AT2G05260.1
jg27090	AT2G05755.1
jg27648	AT2G16070.2
jg27649	AT2G16090.1
jg28102	AT2G19180.1
jg17321	AT3G58950.1
jg17322	AT3G58950.1
jg18295	AT2G32250.1
jg18635	AT2G35160.1
jg19035	AT2G38500.1
jg19036	AT2G38510.1
jg19571	AT2G42550.1
jg13240	AT3G25770.1
jg13241	AT3G25780.1
jg4399	AT5G06310.1
jg4400	AT1G52950.1
jg6421	AT5G25380.4
jg6422	AT5G25410.1
jg7111	AT4G08620.1
jg7112	AT4G08620.1
jg7669	AT4G12620.1
jg9223	AT4G31770.1
jg9224	AT4G31760.1
jg9225	AT4G31750.1
jg9226	AT4G31740.1
jg11537	AT4G13310.1
jg11945	AT5G35580.2
jg11956	AT5G35610.1
jg21018	AT5G42800.1
jg21369	AT5G48360.1
jg21370	AT5G48370.1
jg21566	AT5G49330.1
jg22363	AT5G55340.1
jg22364	AT5G55350.1
jg22365	AT5G55360.1
jg22867	AT5G59340.1
