annotation	A_thaliana
jg31411	AT1G29040.1
jg32078	AT1G34060.1
jg32539	AT1G43770.2
jg32877	AT1G48020.1
jg32878	AT1G48030.1
jg33675	AT1G55170.1
jg33676	AT1G55175.1
jg378	AT1G64520.1
jg379	AT1G64510.2
jg3484	AT1G78100.1
jg26909	AT2G04070.1
jg26910	AT2G04080.1
jg27039	AT2G05260.1
jg27398	AT2G13542.1, AT1G59833.1
jg27494	AT2G14680.2
jg27495	AT2G14690.1
jg27706	AT2G16500.1
jg28227	AT2G20170.1
jg17058	AT2G25160.1
jg19612	AT2G42885.1
jg13635	AT3G28600.1
jg5782	AT5G19220.1
jg5783	AT5G19230.1, AT5G19240.1
jg5784	AT5G19250.1
jg6449	AT5G25630.2
jg6603	AT5G27930.1
jg7111	AT4G08620.1
jg7112	AT4G08620.1
jg7286	AT4G09720.3
jg7287	AT4G09730.1
jg7413	AT4G10620.1
jg7414	AT4G10630.1
jg8665	AT4G36720.1
jg8666	AT4G36710.1
jg9012	AT4G33620.1
jg9013	AT4G33610.1
jg9014	AT4G33600.1
jg10687	AT4G19003.1
jg10688	AT4G19000.1
jg10689	AT4G18990.1
jg11945	AT5G35580.2
jg11946	AT5G35590.1
jg20612	AT5G45080.1
jg20651	AT5G44820.1
jg21372	AT5G48380.1
