annotation	A_lyrata_NCBI
jg28580	XP_002889416.2
jg28582	XP_020870285.1
jg28584	XP_002892121.1
jg28585	XP_020870286.1
jg28586	XP_020870287.1
jg28640	XP_020869285.1
jg28641	XP_002892154.1
jg28642	XP_020870316.1
jg28696	XP_002892180.1
jg28697	XP_002889477.1
jg28698	XP_002892181.1
jg28699	XP_020869188.1
jg28774	XP_020869409.1
jg28775	XP_002889515.1
jg28776	XP_002892226.1
jg28795	XP_020867119.1
jg28796	XP_002892239.1
jg28797	XP_002889523.1
jg28905	XP_020867572.1
jg28906	XP_002892305.1
jg28907	XP_002892306.1
jg28984	XP_002889599.1
jg28985	XP_002892334.2
jg28986	XP_002892335.1
jg28986	XP_002892335.1
jg28987	XP_002892337.2
jg29015	XP_002889613.1
jg29016	XP_020868609.1
jg29017	XP_002892353.1
jg29052	XP_002889628.1
jg29053	XP_002892371.1
jg29054	XP_020867216.1
jg29056	XP_002892376.1
jg29057	XP_020867297.1
jg29058	XP_020868783.1
jg29080	XP_002892391.1
jg29117	XP_020868754.1
jg29118	XP_002892412.1
jg29172	XP_002889679.1
jg29173	XP_002892435.1
jg29172	XP_002889679.1
jg29173	XP_002892435.1
jg29173	XP_002892435.1
jg29174	XP_002889680.1
jg29205	XP_002889693.1
jg29270	XP_020866926.1
jg29271	XP_002889734.1
jg29272	XP_020867886.1
jg29367	XP_002892535.1
jg29369	XP_002892536.1
jg29552	XP_002892635.1
jg29553	XP_002889861.1
jg29555	XP_020867006.1
jg29556	XP_002889862.1
jg29583	XP_002892646.1
jg29607	XP_020866929.1
jg29646	XP_020869241.1
jg29844	XP_002890020.1
jg29845	XP_002890021.2
jg29935	XP_002892816.1
jg29936	XP_002890062.1
jg29970	XP_020867756.1
jg29971	XP_020866504.1
jg29981	XP_020869449.1
jg29982	XP_020869542.1
jg29983	XP_020868587.1
jg29993	XP_002892848.1
jg29994	XP_002890086.1
jg30082	XP_020867472.1
jg30259	XP_002890221.2
jg30260	XP_020867935.1
jg30263	XP_002892948.1
jg30264	XP_020869347.1
jg30303	XP_020868970.1
jg30304	XP_002892967.1
jg30305	XP_020866541.1
jg30306	XP_002890250.1
jg30307	XP_002892968.1
jg30369	XP_020867086.1
jg30370	XP_002890278.1
jg30371	XP_020866417.1
jg30380	XP_020869593.1
jg30393	XP_020868934.1
jg30395	XP_002890296.1
jg30396	XP_002893011.1
jg30579	XP_020870822.1
jg30580	XP_002893111.1
jg30581	XP_020870360.1
jg30642	XP_020868896.1
jg30689	XP_002890443.1
jg30691	XP_020869384.1
jg30729	XP_002890462.1
jg30730	XP_002890463.1
jg30731	XP_002893182.1
jg30732	XP_002890464.1
jg30815	XP_002893236.1
jg30816	XP_020866447.1
jg30941	XP_020870142.1
jg30984	XP_002893327.1
jg30984	XP_002893327.1
jg31149	XP_002890678.1
jg31294	XP_002890746.1
jg31295	XP_020868007.1
jg31296	XP_020869541.1
jg31352	XP_020866568.1
jg31355	XP_020870237.1
jg31403	XP_020869629.1
jg31498	XP_002890824.2
jg31546	XP_020867373.1
jg31898	XP_002893724.1
jg32067	XP_020868503.1
jg32243	XP_020869400.1, XP_020870579.1, XP_002891202.2, XP_020870581.1
jg32244	XP_020869400.1, XP_020870579.1, XP_002891202.2, XP_020870581.1
jg32275	XP_002893911.1
jg32620	XP_020869082.1
jg32620	XP_020869082.1
jg32839	XP_020875242.1, XP_020876759.1, XP_020886057.1, XP_020881512.1, XP_020866756.1, XP_020874679.1
jg33013	XP_002891479.2
jg33014	XP_020868137.1
jg33015	XP_020868141.1
jg33016	XP_002894164.1
jg33017	XP_020869952.1
jg33018	XP_002891481.1
jg33548	XP_020867127.1
jg33549	XP_002891751.1
jg33559	XP_020867191.1
jg33560	XP_002891755.1
jg33561	XP_020867206.1
jg33562	XP_020867164.1
jg358	XP_020889713.1
jg511	XP_020890232.1
jg517	XP_002887948.1
jg517	XP_002887948.1
jg531	XP_020890197.1
jg532	XP_020891336.1
jg760	XP_020891309.1
jg787	XP_020890088.1
jg788	XP_020890063.1
jg806	XP_020890057.1
jg807	XP_020890048.1
jg808	XP_020890720.1
jg809	XP_020890076.1
jg863	XP_020890042.1
jg864	XP_020890135.1
jg908	XP_002888124.1
jg954	XP_020890587.1
jg1019	XP_020890319.1
jg1020	XP_020890275.1
jg1158	XP_020888411.1
jg1159	XP_002888220.1
jg1162	XP_020889718.1
