CHROM	POS	scaffold	start	end	annotation	hit_dist
scaffold_1	646255	scaffold_1	643301	644288	jg28580	2460.5
scaffold_1	646255	scaffold_1	644740	645039	jg28581	1365.5
scaffold_1	646255	scaffold_1	646996	649013	jg28582	1749.5
scaffold_1	646255	scaffold_1	649657	650332	jg28583	3739.5
scaffold_1	656700	scaffold_1	652204	656013	jg28584	2591.5
scaffold_1	656700	scaffold_1	657123	659374	jg28585	1548.5
scaffold_1	656700	scaffold_1	659988	661511	jg28586	4049.5
scaffold_1	863361	scaffold_1	857927	859528	jg28640	4633.5
scaffold_1	863361	scaffold_1	860032	863893	jg28641	1398.5
scaffold_1	863361	scaffold_1	864038	868538	jg28642	2927
scaffold_1	1046884	scaffold_1	1043147	1043791	jg28696	3415
scaffold_1	1046884	scaffold_1	1044269	1044913	jg28697	2293
scaffold_1	1046884	scaffold_1	1045309	1045974	jg28698	1242.5
scaffold_1	1046884	scaffold_1	1047545	1052103	jg28699	2940
scaffold_1	1373546	scaffold_1	1369076	1370260	jg28774	3878
scaffold_1	1373546	scaffold_1	1372439	1373264	jg28775	694.5
scaffold_1	1373546	scaffold_1	1374433	1376205	jg28776	1773
scaffold_1	1471955	scaffold_1	1465691	1471562	jg28795	3328.5
scaffold_1	1471955	scaffold_1	1472288	1473895	jg28796	1136.5
scaffold_1	1471955	scaffold_1	1475805	1476995	jg28797	4445
scaffold_1	1857443	scaffold_1	1852709	1854759	jg28905	3709
scaffold_1	1857443	scaffold_1	1855259	1857007	jg28906	1310
scaffold_1	1857443	scaffold_1	1858953	1860722	jg28907	2394.5
scaffold_1	2118197	scaffold_1	2113331	2114162	jg28984	4450.5
scaffold_1	2118197	scaffold_1	2114460	2115157	jg28985	3388.5
scaffold_1	2118197	scaffold_1	2116869	2120575	jg28986	525
scaffold_1	2120917	scaffold_1	2116869	2120575	jg28986	2195
scaffold_1	2120917	scaffold_1	2122702	2123946	jg28987	2407
scaffold_1	2237364	scaffold_1	2231113	2237910	jg29015	2852.5
scaffold_1	2237364	scaffold_1	2238457	2239673	jg29016	1701
scaffold_1	2237364	scaffold_1	2240199	2242630	jg29017	4050.5
scaffold_1	2362019	scaffold_1	2360946	2362498	jg29052	297
scaffold_1	2362019	scaffold_1	2362826	2364742	jg29053	1765
scaffold_1	2362019	scaffold_1	2365616	2367741	jg29054	4659.5
scaffold_1	2374960	scaffold_1	2368114	2372168	jg29055	4819
scaffold_1	2374960	scaffold_1	2372853	2374707	jg29056	1180
scaffold_1	2374960	scaffold_1	2375742	2376533	jg29057	1177.5
scaffold_1	2374960	scaffold_1	2378057	2379846	jg29058	3991.5
scaffold_1	2454800	scaffold_1	2451059	2454248	jg29080	2146.5
scaffold_1	2454800	scaffold_1	2458766	2459408	jg29081	4287
scaffold_1	2599424	scaffold_1	2591621	2598062	jg29117	4582.5
scaffold_1	2599424	scaffold_1	2599247	2599923	jg29118	161
scaffold_1	2599424	scaffold_1	2601466	2602140	jg29119	2379
scaffold_1	2780618	scaffold_1	2777730	2779514	jg29172	1996
scaffold_1	2780618	scaffold_1	2781067	2782832	jg29173	1331.5
scaffold_1	2783133	scaffold_1	2777730	2779514	jg29172	4511
scaffold_1	2783133	scaffold_1	2781067	2782832	jg29173	1183.5
scaffold_1	2786672	scaffold_1	2781067	2782832	jg29173	4722.5
scaffold_1	2786672	scaffold_1	2787526	2789593	jg29174	1887.5
scaffold_1	2921065	scaffold_1	2920451	2922605	jg29205	463
scaffold_1	3225281	scaffold_1	3221128	3224395	jg29270	2519.5
scaffold_1	3225281	scaffold_1	3224921	3227046	jg29271	702.5
scaffold_1	3225281	scaffold_1	3228225	3229245	jg29272	3454
scaffold_1	3528809	scaffold_1	3524607	3527168	jg29367	2921.5
scaffold_1	3528809	scaffold_1	3528042	3528505	jg29368	535.5
scaffold_1	3528809	scaffold_1	3530598	3532454	jg29369	2717
scaffold_1	4190490	scaffold_1	4184579	4187008	jg29552	4696.5
scaffold_1	4190490	scaffold_1	4187531	4190494	jg29553	1477.5
scaffold_1	4190490	scaffold_1	4190966	4194038	jg29554	2012
scaffold_1	4200263	scaffold_1	4194080	4197068	jg29555	4689
scaffold_1	4200263	scaffold_1	4201239	4202847	jg29556	1780
scaffold_1	4289816	scaffold_1	4287851	4292212	jg29582	215.5
scaffold_1	4289816	scaffold_1	4292835	4295454	jg29583	4328.5
scaffold_1	4373847	scaffold_1	4369612	4372488	jg29607	2797
scaffold_1	4515249	scaffold_1	4516146	4518398	jg29646	2023
scaffold_1	5278961	scaffold_1	5275953	5279291	jg29843	1339
scaffold_1	5278961	scaffold_1	5279316	5282189	jg29844	1791.5
scaffold_1	5278961	scaffold_1	5282392	5284181	jg29845	4325.5
scaffold_1	5587510	scaffold_1	5584213	5585560	jg29935	2623.5
scaffold_1	5587510	scaffold_1	5589410	5590693	jg29936	2541.5
scaffold_1	5733211	scaffold_1	5726236	5732658	jg29970	3764
scaffold_1	5733211	scaffold_1	5734359	5735160	jg29971	1548.5
scaffold_1	5733211	scaffold_1	5736916	5737566	jg29972	4030
scaffold_1	5773016	scaffold_1	5768177	5768887	jg29980	4484
scaffold_1	5773016	scaffold_1	5771188	5771744	jg29981	1550
scaffold_1	5773016	scaffold_1	5772963	5773628	jg29982	279.5
scaffold_1	5773016	scaffold_1	5775744	5778616	jg29983	4164
scaffold_1	5804654	scaffold_1	5798823	5801683	jg29993	4401
scaffold_1	5804654	scaffold_1	5802932	5804471	jg29994	952.5
scaffold_1	6111233	scaffold_1	6109850	6111232	jg30080	692
scaffold_1	6111233	scaffold_1	6111319	6111735	jg30081	294
scaffold_1	6111233	scaffold_1	6113082	6115643	jg30082	3129.5
scaffold_1	6747596	scaffold_1	6746051	6746419	jg30259	1361
scaffold_1	6747596	scaffold_1	6748055	6749864	jg30260	1363.5
scaffold_1	6765085	scaffold_1	6761409	6762842	jg30263	2959.5
scaffold_1	6765085	scaffold_1	6766036	6767397	jg30264	1631.5
scaffold_1	6935163	scaffold_1	6931180	6932282	jg30303	3432
scaffold_1	6935163	scaffold_1	6932622	6934377	jg30304	1663.5
scaffold_1	6935163	scaffold_1	6935276	6935749	jg30305	349.5
scaffold_1	6935163	scaffold_1	6936576	6937852	jg30306	2051
scaffold_1	6935163	scaffold_1	6938155	6941605	jg30307	4717
scaffold_1	7177892	scaffold_1	7171565	7175231	jg30369	4494
scaffold_1	7177892	scaffold_1	7177945	7179120	jg30370	640.5
scaffold_1	7177892	scaffold_1	7179495	7183018	jg30371	3364.5
scaffold_1	7208238	scaffold_1	7204715	7206000	jg30380	2880.5
scaffold_1	7262944	scaffold_1	7257220	7262582	jg30393	3043
scaffold_1	7279835	scaffold_1	7278056	7279756	jg30395	929
scaffold_1	7279835	scaffold_1	7282288	7284731	jg30396	3674.5
scaffold_1	7958847	scaffold_1	7955816	7956166	jg30579	2856
