annotation	A_thaliana
jg28580	AT1G02700.1
jg28581	AT1G02710.1
jg28641	AT1G03260.1
jg28642	AT1G03270.1
jg29172	AT1G08090.1
jg29173	AT1G08100.1
jg29174	AT1G08110.4
jg358	AT1G64700.1
jg806	AT1G61550.1
jg809	AT1G61540.1
jg1476	AT1G54940.1
jg2485	AT1G69040.2
jg23957	AT3G01410.1
jg24818	AT3G09000.1
jg24819	AT3G09010.1
jg26092	AT3G19510.1
jg26094	AT3G19520.3
jg26909	AT2G04070.1
jg26910	AT2G04080.1
jg27398	AT2G13542.1, AT1G59833.1
jg27399	AT2G13560.1
jg27702	AT2G16460.1
jg17058	AT2G25160.1
jg17939	AT5G11565.1
jg18163	AT2G31100.1
jg18164	AT2G31110.2
jg18165	AT2G31130.1
jg19570	AT2G42540.2
jg19571	AT2G42550.1
jg19612	AT2G42885.1
jg13215	AT3G25573.1
jg13216	AT3G25577.1
jg13643	AT3G28700.1
jg13646	AT3G28710.1
jg4246	AT5G04960.1
jg5784	AT5G19250.1
jg6421	AT5G25380.4
jg6422	AT5G25410.1
jg6652	AT5G27490.1
jg6653	AT5G27470.1
jg7111	AT4G08620.1
jg7112	AT4G08620.1
jg7409	AT4G10600.1
jg7939	AT4G02710.1
jg7940	AT4G02700.1
jg9211	AT4G31880.1
jg9223	AT4G31770.1
jg10544	AT4G20240.1
jg10545	AT4G20235.1
jg11093	AT4G15910.1
jg12638	AT5G40310.2
jg22363	AT5G55340.1
jg22364	AT5G55350.1
jg22365	AT5G55360.1
jg22636	AT5G57360.2
jg22637	AT5G57370.1
