CHROM	POS	scaffold	start	end	annotation	hit_dist
scaffold_1	1549729	scaffold_1	1543897	1545658	jg28818	4951.5
scaffold_1	1549729	scaffold_1	1546378	1550205	jg28819	1437.5
scaffold_1	1549729	scaffold_1	1551069	1553715	jg28820	2663
scaffold_1	1549729	scaffold_1	1554160	1554997	jg28821	4849.5
scaffold_1	1738019	scaffold_1	1739537	1744970	jg28876	4234.5
scaffold_1	3064614	scaffold_1	3060972	3064131	jg29236	2062.5
scaffold_1	3064614	scaffold_1	3065513	3068475	jg29237	2380
scaffold_1	3064614	scaffold_1	3068993	3069622	jg29238	4693.5
scaffold_1	3481453	scaffold_1	3477567	3479786	jg29353	2776.5
scaffold_1	3481453	scaffold_1	3484383	3485213	jg29354	3345
scaffold_1	3481592	scaffold_1	3477567	3479786	jg29353	2915.5
scaffold_1	3481592	scaffold_1	3484383	3485213	jg29354	3206
scaffold_1	4877523	scaffold_1	4875118	4875339	jg29739	2294.5
scaffold_1	4877523	scaffold_1	4878092	4878622	jg29740	834
scaffold_1	4877523	scaffold_1	4879852	4882305	jg29741	3555.5
scaffold_1	5278961	scaffold_1	5275953	5279291	jg29843	1339
scaffold_1	5278961	scaffold_1	5279316	5282189	jg29844	1791.5
scaffold_1	5278961	scaffold_1	5282392	5284181	jg29845	4325.5
scaffold_1	6386872	scaffold_1	6379002	6386208	jg30153	4267
scaffold_1	6386872	scaffold_1	6387797	6390902	jg30154	2477.5
scaffold_1	6386872	scaffold_1	6391260	6391971	jg30155	4743.5
scaffold_1	6397711	scaffold_1	6392432	6393566	jg30156	4712
scaffold_1	6397711	scaffold_1	6393828	6396291	jg30157	2651.5
scaffold_1	6397711	scaffold_1	6398208	6398534	jg30158	660
scaffold_1	7177058	scaffold_1	7171565	7175231	jg30369	3660
scaffold_1	7177058	scaffold_1	7177945	7179120	jg30370	1474.5
scaffold_1	7177058	scaffold_1	7179495	7183018	jg30371	4198.5
scaffold_1	9551218	scaffold_1	9546683	9547840	jg30984	3956.5
scaffold_1	9551218	scaffold_1	9554045	9554431	jg30985	3020
scaffold_1	9551218	scaffold_1	9555494	9556605	jg30986	4831.5
scaffold_1	9718040	scaffold_1	9712435	9714707	jg31028	4469
scaffold_1	9718040	scaffold_1	9714971	9716623	jg31029	2243
scaffold_1	9718040	scaffold_1	9717192	9717885	jg31030	501.5
scaffold_1	9718040	scaffold_1	9718672	9719669	jg31031	1130.5
scaffold_1	9849351	scaffold_1	9843968	9844978	jg31059	4878
scaffold_1	9849351	scaffold_1	9846912	9848480	jg31060	1655
scaffold_1	9849351	scaffold_1	9849905	9850917	jg31061	1060
scaffold_1	10088575	scaffold_1	10081959	10085230	jg31121	4980.5
scaffold_1	10088575	scaffold_1	10086959	10088545	jg31122	823
scaffold_1	10088575	scaffold_1	10089288	10092847	jg31123	2492.5
scaffold_1	11103534	scaffold_1	11095135	11102730	jg31371	4601.5
scaffold_1	11259928	scaffold_1	11257409	11258382	jg31411	2032.5
scaffold_1	11259928	scaffold_1	11261835	11262558	jg31412	2268.5
scaffold_1	11520255	scaffold_1	11516326	11519293	jg31486	2445.5
scaffold_1	11520255	scaffold_1	11519728	11523784	jg31487	1501
scaffold_1	12294546	scaffold_1	12292030	12293935	jg31655	1563.5
scaffold_1	12589423	scaffold_1	12586441	12587852	jg31727	2276.5
scaffold_1	12589423	scaffold_1	12589462	12590193	jg31728	404.5
scaffold_1	12867622	scaffold_1	12869039	12872317	jg31797	3056
scaffold_1	13967184	scaffold_1	13961939	13962911	jg32038	4759
scaffold_1	13967184	scaffold_1	13965449	13966821	jg32039	1049
scaffold_1	14022827	scaffold_1	14021205	14022347	jg32049	1051
scaffold_1	14022827	scaffold_1	14024468	14025844	jg32050	2329
scaffold_1	14134985	scaffold_1	14130001	14133191	jg32072	3389
scaffold_1	14134985	scaffold_1	14134793	14136179	jg32073	501
scaffold_1	14134985	scaffold_1	14136902	14137488	jg32074	2210
scaffold_1	14134985	scaffold_1	14138478	14138678	jg32075	3593
scaffold_1	14146858	scaffold_1	14144975	14145463	jg32076	1639
scaffold_1	14146858	scaffold_1	14147033	14148466	jg32077	891.5
scaffold_1	14146858	scaffold_1	14150095	14151827	jg32078	4103
scaffold_1	14489848	scaffold_1	14488228	14489512	jg32142	978
scaffold_1	14530456	scaffold_1	14526970	14527787	jg32149	3077.5
scaffold_1	15116017	scaffold_1	15110366	15112099	jg32262	4784.5
scaffold_1	15116017	scaffold_1	15112421	15113909	jg32263	2852
scaffold_1	15554884	scaffold_1	15551302	15553386	jg32330	2540
scaffold_1	15554884	scaffold_1	15558071	15558619	jg32331	3461
scaffold_1	15826373	scaffold_1	15820912	15822909	jg32374	4462.5
scaffold_1	15826373	scaffold_1	15824159	15826196	jg32375	1195.5
scaffold_1	16949545	scaffold_1	16945178	16945575	jg32493	4168.5
scaffold_1	16949545	scaffold_1	16945671	16946356	jg32494	3531.5
scaffold_1	17153062	scaffold_1	17154247	17156695	jg32529	2409
scaffold_1	17241888	scaffold_1	17236827	17238643	jg32539	4153
scaffold_1	17241971	scaffold_1	17236827	17238643	jg32539	4236
scaffold_1	17616220	scaffold_1	17618713	17619411	jg32610	2842
scaffold_1	17616220	scaffold_1	17620624	17620884	jg32611	4534
scaffold_1	18038668	scaffold_1	18035200	18037948	jg32679	2094
scaffold_1	18038668	scaffold_1	18038406	18039003	jg32680	36.5
scaffold_1	18038668	scaffold_1	18039212	18040169	jg32681	1022.5
scaffold_1	18038668	scaffold_1	18041860	18042942	jg32682	3733
scaffold_1	18632809	scaffold_1	18630801	18633073	jg32806	872
scaffold_1	18632809	scaffold_1	18636177	18636702	jg32807	3630.5
scaffold_1	18650106	scaffold_1	18651601	18654317	jg32809	2853
scaffold_1	18661836	scaffold_1	18664297	18666347	jg32811	3486
scaffold_1	19025143	scaffold_1	19027041	19027571	jg32877	2163
scaffold_1	19025143	scaffold_1	19027891	19029872	jg32878	3738.5
scaffold_1	19078177	scaffold_1	19062004	19087647	jg32885	3351.5
scaffold_1	19346763	scaffold_1	19342621	19344592	jg32950	3156.5
scaffold_1	19346763	scaffold_1	19347782	19349948	jg32951	2102
scaffold_1	19413536	scaffold_1	19411483	19412189	jg32964	1700
scaffold_1	19413536	scaffold_1	19417698	19418141	jg32965	4383.5
scaffold_1	19654919	scaffold_1	19650641	19654069	jg33024	2564
scaffold_1	19654919	scaffold_1	19657749	19658188	jg33025	3049.5
scaffold_1	19741977	scaffold_1	19736900	19737862	jg33045	4596
scaffold_1	19741977	scaffold_1	19738355	19742020	jg33046	1789.5
scaffold_1	19741977	scaffold_1	19743045	19743755	jg33047	1423
scaffold_1	20069521	scaffold_1	20064715	20067118	jg33119	3604.5
scaffold_1	20069521	scaffold_1	20067598	20069971	jg33120	736.5
scaffold_1	20069521	scaffold_1	20070704	20071555	jg33121	1608.5
scaffold_1	20069521	scaffold_1	20073388	20075626	jg33122	4986
scaffold_1	20095402	scaffold_1	20090565	20092640	jg33128	3799.5
scaffold_1	20095402	scaffold_1	20093578	20098701	jg33129	737.5
scaffold_1	20095402	scaffold_1	20099239	20100450	jg33130	4442.5
scaffold_1	21171954	scaffold_1	21169086	21169463	jg33376	2679.5
scaffold_1	21171954	scaffold_1	21171174	21171620	jg33377	557
scaffold_1	21171954	scaffold_1	21172546	21175506	jg33378	2072
scaffold_1	21390726	scaffold_1	21385558	21390101	jg33433	2896.5
scaffold_1	21390726	scaffold_1	21392058	21394486	jg33434	2546
scaffold_1	22313637	scaffold_1	22310657	22311746	jg33674	2435.5
scaffold_1	22313637	scaffold_1	22314549	22315619	jg33675	1447
scaffold_1	22313637	scaffold_1	22316431	22317362	jg33676	3259.5
scaffold_2	60098	scaffold_2	62684	63863	jg368	3175.5
scaffold_2	121098	scaffold_2	122151	123881	jg378	1918
scaffold_2	121098	scaffold_2	124150	125411	jg379	3682.5
scaffold_2	747821	scaffold_2	743267	744455	jg536	3960
scaffold_2	747821	scaffold_2	744865	746019	jg537	2379
scaffold_2	747821	scaffold_2	746065	746751	jg538	1413
scaffold_2	747821	scaffold_2	747714	748283	jg539	177.5
scaffold_2	747821	scaffold_2	750032	754275	jg540	4332.5
scaffold_2	764370	scaffold_2	766765	768331	jg541	3178
scaffold_2	764370	scaffold_2	768787	769188	jg542	4617.5
scaffold_2	1176114	scaffold_2	1169424	1173280	jg646	4762
scaffold_2	1344021	scaffold_2	1341881	1342468	jg681	1846.5
scaffold_2	1344021	scaffold_2	1347456	1349107	jg682	4260.5
scaffold_2	1678142	scaffold_2	1678638	1682099	jg760	2226.5
scaffold_2	3263509	scaffold_2	3261506	3261937	jg1106	1787.5
scaffold_2	3263509	scaffold_2	3264383	3269120	jg1107	3242.5
scaffold_2	3739483	scaffold_2	3736062	3737324	jg1198	2790
scaffold_2	3739483	scaffold_2	3741219	3744106	jg1199	3179.5
scaffold_2	4369837	scaffold_2	4368734	4370353	jg1331	293.5
scaffold_2	4489409	scaffold_2	4489940	4492463	jg1345	1792.5
scaffold_2	4528810	scaffold_2	4527677	4530393	jg1351	225
scaffold_2	4528810	scaffold_2	4531328	4532917	jg1352	3312.5
scaffold_2	4548160	scaffold_2	4549682	4551068	jg1355	2215
scaffold_2	5104953	scaffold_2	5100459	5101850	jg1457	3798.5
scaffold_2	5104953	scaffold_2	5103281	5104782	jg1458	921.5
scaffold_2	5558431	scaffold_2	5559604	5563257	jg1520	2999.5
scaffold_2	5575683	scaffold_2	5570961	5572712	jg1523	3846.5
scaffold_2	5575683	scaffold_2	5573928	5574850	jg1524	1294
scaffold_2	5575683	scaffold_2	5577938	5579275	jg1525	2923.5
scaffold_2	5575683	scaffold_2	5580254	5580802	jg1526	4845
scaffold_2	5577032	scaffold_2	5573928	5574850	jg1524	2643
scaffold_2	5577032	scaffold_2	5577938	5579275	jg1525	1574.5
scaffold_2	5577032	scaffold_2	5580254	5580802	jg1526	3496
scaffold_2	6346608	scaffold_2	6346178	6346486	jg1631	276
scaffold_2	6346608	scaffold_2	6346595	6348781	jg1632	1080
scaffold_2	6346608	scaffold_2	6349517	6351460	jg1633	3880.5
scaffold_2	7885864	scaffold_2	7882337	7883197	jg1775	3097
scaffold_2	7885864	scaffold_2	7883997	7885150	jg1776	1290.5
