annotation	A_lyrata_NCBI
jg28498	XP_020870179.1
jg28499	XP_002892075.1
jg28500	XP_020870178.1
jg28501	XP_020870176.1
jg28784	XP_020867468.1
jg28785	XP_020867464.1
jg28905	XP_020867572.1
jg28906	XP_002892305.1
jg28907	XP_002892306.1
jg28948	XP_002892315.1
jg28949	XP_002889580.1
jg28950	XP_002889582.2
jg28952	XP_020867848.1
jg29008	XP_002892349.1
jg29009	XP_002892351.1
jg29117	XP_020868754.1
jg29118	XP_002892412.1
jg29282	XP_020867890.1
jg29283	XP_002892494.1
jg29284	XP_002889737.1
jg29285	XP_002889738.1
jg29301	XP_002889747.1
jg29302	XP_002892503.2
jg29305	XP_020869077.1
jg29306	XP_002892504.2
jg29307	XP_020867577.1
jg29498	XP_020868541.1
jg29499	XP_020869589.1
jg29500	XP_020868981.1
jg29639	XP_020868464.1
jg29667	XP_020870206.1
jg29668	XP_020870203.1
jg29669	XP_002892680.1
jg29697	XP_020869346.1
jg29698	XP_020869918.1
jg29699	XP_002889941.1
jg29700	XP_002892695.1
jg29788	XP_002889996.1
jg29950	XP_002892821.1
jg29951	XP_002890071.1
jg29952	XP_020869704.1, XP_020869893.1
jg29953	XP_020869885.1
jg30091	XP_020867568.1
jg30092	XP_020867562.1
jg30093	XP_002892892.1
jg30157	XP_020866530.1
jg30159	XP_002890187.2
jg30393	XP_020868934.1
jg30480	XP_002890344.1
jg30481	XP_002890345.1
jg30482	XP_020870294.1
jg30483	XP_002893054.1
jg30484	XP_020870295.1
jg30503	XP_020867750.1
jg30504	XP_020867749.1
jg30505	XP_002890355.1
jg30507	XP_020879427.1
jg30508	XP_002893072.1
jg30687	XP_002890441.1
jg30688	XP_020867682.1
jg30781	XP_020867711.1
jg30782	XP_020869719.1
jg30818	XP_002893239.1
jg30819	XP_020866574.1
jg30887	XP_020870516.1
jg30888	XP_002890576.2
jg30889	XP_020866573.1, XP_020870490.1, XP_020870108.1
jg30984	XP_002893327.1
jg31035	XP_020870374.1
jg31036	XP_002893361.1, XP_020871397.1
jg31035	XP_020870374.1
jg31036	XP_002893361.1, XP_020871397.1
jg31036	XP_002893361.1, XP_020871397.1
jg31043	XP_002893367.1
jg31044	XP_020870952.1
jg31052	XP_002893374.1
jg31054	XP_020866640.1
jg31055	XP_020866645.1
jg31069	XP_020866647.1
jg31099	XP_020870377.1
jg31100	XP_002893399.1
jg31200	XP_002890695.1
jg31201	XP_020869878.1
jg31243	XP_020876880.1, XP_002893455.1
jg31244	XP_020866860.1
jg31384	XP_002893535.1
jg31385	XP_020868881.1
jg31386	XP_020868889.1
jg31423	XP_020869685.1
jg31424	XP_020869685.1
jg31799	XP_020869413.1
jg31801	XP_002890948.1
jg31932	XP_020870920.1
jg31971	XP_020869884.1
jg31973	XP_020869727.1
jg32125	XP_002891107.2
jg32142	XP_002891110.1
jg32223	XP_020868751.1
jg32224	XP_020868753.1
jg32482	XP_020869129.1
jg32627	XP_002893991.1
jg32634	XP_020869371.1
jg32652	XP_020870594.1
jg32714	XP_020870252.1
jg32715	XP_002891322.1
jg32761	XP_020869926.1
jg32779	XP_002891362.1
jg32782	XP_002894051.1
jg32809	XP_020870052.1
jg32905	XP_002891421.1
jg32906	XP_002891423.1
jg32928	XP_002891438.1
jg32951	XP_020866569.1
jg32952	XP_020866377.1
jg33051	XP_020869617.1
jg33091	XP_002894209.2
jg33100	XP_020866711.1
jg33102	XP_002891531.1
jg33130	XP_002891549.1
jg33131	XP_020866716.1
jg33132	XP_020871502.1
jg33133	XP_020866713.1
jg33134	XP_002894227.1
jg33263	XP_020868715.1
jg33264	XP_002891623.2
jg33266	XP_002894301.1
jg33444	XP_002894384.1
jg33445	XP_002894385.1
jg33447	XP_002894386.1
jg33604	XP_020868938.1
jg33606	XP_002891772.1
jg33607	XP_002894465.2
jg33681	XP_002894496.1
jg33682	XP_002891824.1
jg33683	XP_002891823.1
jg33684	XP_002891824.1
jg33697	XP_020869744.1
jg33698	XP_002891831.1
jg33699	XP_020869742.1
jg33746	XP_002894521.1
jg33747	XP_002894523.1
jg409	XP_020889914.1
jg411	XP_002886353.1
jg496	XP_020865587.1
jg497	XP_002886390.1
jg498	XP_020867010.1
jg593	XP_020891191.1
jg722	XP_020870399.1
jg723	XP_020890623.1
jg753	XP_020889716.1
jg804	XP_002886533.1
jg841	XP_002886555.1
jg842	XP_002888095.1
jg861	XP_002888109.1
jg954	XP_020890587.1
jg954	XP_020890587.1
jg980	XP_020890974.1
jg1000	XP_020890734.1
jg1053	XP_002888185.1
jg1088	XP_020890279.1
jg1089	XP_020890294.1
jg1090	XP_002889600.1
jg1091	XP_002886670.1
jg1115	XP_002886683.1
jg1116	XP_020891329.1, XP_020889722.1
jg1124	XP_002888209.1
jg1182	XP_020889698.1
jg1183	XP_020890874.1
jg1268	XP_002888276.1
jg1269	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_020891241.1, XP_002886746.1, XP_002886744.1, XP_002886752.2, XP_002862361.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1
jg1270	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_020891241.1, XP_002886746.1, XP_002886744.1, XP_002886752.2, XP_002862361.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1
jg1484	XP_020870000.1
jg1947	XP_002886950.1
jg1949	XP_020865694.1
jg1965	XP_002888437.1
jg2097	XP_020890498.1
jg2109	XP_002888502.1
jg2119	XP_002888509.2, XP_020865922.1
jg2173	XP_002888548.1
jg2199	XP_002887089.1
jg2261	XP_002887115.1
jg2290	XP_020890782.1
jg2291	XP_002887129.1
jg2320	XP_002887144.1
jg2327	XP_002887147.1
jg2328	XP_002888627.1
jg2329	XP_002887148.1
jg2433	XP_002887193.1
jg2434	XP_002887194.1
jg2435	XP_020889622.1
jg2436	XP_020889619.1
jg2490	XP_020865978.1
jg2563	XP_020890540.1
jg2564	XP_020890540.1
jg2638	XP_002888763.1
jg2640	XP_002888765.1
jg2641	XP_020865608.1
jg2747	XP_002887356.1
jg2771	XP_020889939.1
jg2820	XP_002887401.1
jg2821	XP_020891236.1
jg2822	XP_002888854.2
jg2864	XP_002887426.1
jg2875	XP_020891738.1
jg2876	XP_002888873.2
jg2929	XP_020890258.1
jg3029	XP_020889902.1
jg3030	XP_020889904.1
jg3049	XP_002888960.1
jg3050	XP_020891015.1
jg3051	XP_002887522.1
jg3052	XP_002887520.1
jg3053	XP_002887521.1
jg3071	XP_020890616.1
jg3222	XP_020891062.1
jg3321	XP_020865943.1
jg3322	XP_020891319.1
jg3397	XP_020889614.1
jg3398	XP_020889611.1
jg3443	XP_002887697.1
jg3510	XP_020891183.1
jg3511	XP_020865760.1, XP_020891182.1
jg3512	XP_020890025.1
jg3513	XP_020890024.1
jg3609	XP_002887774.1
jg3611	XP_020889897.1
jg23952	XP_002882181.1
jg23953	XP_020887381.1
jg23954	XP_002882182.1
jg23955	XP_002882183.1
jg23955	XP_002882183.1
jg23956	XP_002882184.1
jg23957	XP_020886969.1
jg23955	XP_002882183.1
jg23956	XP_002882184.1
jg23957	XP_020886969.1
jg24053	XP_020886895.1
jg24054	XP_002884317.1
jg24055	XP_002884318.1
jg24056	XP_020886916.1
jg24119	XP_020887869.1
jg24536	XP_020886926.1
jg24537	XP_020887654.1
jg24538	XP_020887653.1
jg24725	XP_002882542.1
jg24726	XP_020889308.1
jg24818	XP_020888739.1
jg24819	XP_002882598.1
jg25276	XP_020889349.1
jg25363	XP_020888911.1
jg25364	XP_020888913.1
jg25365	XP_002884984.1
jg25366	XP_020872518.1, XP_020888550.1
jg25383	XP_002882854.1
jg25384	XP_002884991.1
jg25385	XP_020885982.1
jg25387	XP_002882855.1
jg25398	XP_002884998.1
jg25399	XP_002882862.1, XP_002862273.1
jg25400	XP_020885865.1
jg25432	XP_002882872.1
jg25433	XP_002882873.1
jg25434	XP_020887984.1
jg25486	XP_020886572.1
jg25487	XP_002882889.1
jg25488	XP_002882890.1
jg25489	XP_020886334.1
jg25519	XP_020887689.1
jg25520	XP_020887602.1
jg25521	XP_020887589.1
jg25606	XP_020887649.1
jg25607	XP_020887646.1
jg25608	XP_020889493.1
jg25633	XP_020889475.1
jg25634	XP_020889478.1
jg25635	XP_020889474.1
jg25697	XP_020889202.1
jg25698	XP_002883007.1
jg25699	XP_020889194.1
