annotation	A_thaliana
jg28818	AT1G04945.3
jg28819	AT1G04950.1
jg28820	AT1G04960.2
jg28876	AT1G05380.1
jg29236	AT1G08750.1
jg29237	AT1G08760.1
jg29238	AT1G08770.1
jg29353	AT1G09810.1
jg29354	AT1G09812.1
jg29353	AT1G09810.1
jg29354	AT1G09812.1
jg29739	AT1G12805.1
jg29740	AT1G12810.2
jg29741	AT1G12820.1
jg29844	AT1G13770.1
jg29845	AT1G13780.1
jg30153	AT1G16710.1
jg30154	AT1G16720.2
jg30155	AT1G16730.1
jg30156	AT1G16740.1
jg30157	AT1G16750.1
jg30369	AT1G18470.1
jg30370	AT1G18480.1
jg30371	AT1G18485.1
jg30984	AT1G24140.1
jg30985	AT1G24145.1
jg31028	AT1G27070.1
jg31029	AT1G27060.1
jg31030	AT1G27050.1
jg31031	AT1G27045.4
jg31059	AT1G26880.1
jg31060	AT1G26890.1
jg31061	AT1G26820.1
jg31122	AT1G26380.1
jg31123	AT1G26370.1
jg31371	AT1G28420.1
jg31411	AT1G29040.1
jg31486	AT1G29560.1
jg31487	AT1G29580.1
jg31655	AT1G30825.1
jg31728	AT1G31170.4
jg31797	AT1G31690.1
jg32038	AT1G33800.1
jg32049	AT1G33870.1
jg32050	AT1G33880.1
jg32072	AT1G34020.1
jg32073	AT1G34030.1
jg32075	AT2G32900.1
jg32077	AT1G34050.1
jg32078	AT1G34060.1
jg32142	AT1G34670.1
jg32263	AT3G30525.1
jg32330	AT1G36990.1
jg32375	AT1G37140.1
jg32529	AT1G43640.1
jg32539	AT1G43770.2
jg32539	AT1G43770.2
jg32610	AT1G44224.1
jg32681	AT1G45145.1
jg32806	AT1G47640.1
jg32809	AT1G47670.1
jg32811	AT1G47310.1
jg32877	AT1G48020.1
jg32878	AT1G48030.1
jg32885	AT1G48090.2
jg32951	AT1G48700.4
jg33024	AT1G49250.1
jg33047	AT1G49420.1
jg33119	AT1G49910.1
jg33122	AT1G49950.1
jg33128	AT1G50000.1
jg33129	AT1G49980.1
jg33376	AT1G51970.1
jg33377	AT1G51970.1
jg33378	AT1G51980.1
jg33433	AT1G52410.2
jg33434	AT1G52420.1
jg33675	AT1G55170.1
jg33676	AT1G55175.1
jg368	AT1G64620.1
jg378	AT1G64520.1
jg379	AT1G64510.2
jg536	AT1G63410.2
jg538	AT1G63150.1, AT1G62910.1
jg539	AT1G63310.1
jg540	AT1G63300.1
jg541	AT1G63290.1
jg646	AT1G62660.1
jg681	AT1G62422.1
jg682	AT1G62410.1
jg1106	AT1G59530.1
jg1107	AT1G59520.4
jg1198	AT1G58120.1
jg1199	AT1G58110.1
jg1331	AT1G57620.1
jg1345	AT1G56720.1
jg1351	AT1G56670.1
jg1352	AT1G56660.1
jg1355	AT1G56650.1
jg1457	AT1G55030.2
jg1458	AT1G55030.2
jg1520	AT1G54710.1
jg1523	AT1G54650.3
jg1524	AT1G54640.1
jg1526	AT1G54620.1
jg1524	AT1G54640.1
jg1526	AT1G54620.1
jg1776	AT4G07666.1
jg1957	AT1G65640.2
jg1957	AT1G65640.2
jg2097	AT1G66400.1
jg2098	AT2G41090.1
jg2201	AT1G66970.2
jg2202	AT1G66980.2
jg2217	AT1G67040.2
jg2226	AT1G67080.1
jg2227	AT1G67090.1
jg2264	AT1G67370.1
jg2265	AT1G67390.1
jg2269	AT1G67420.4
jg2271	AT1G67430.1
jg2379	AT1G68180.1
jg2381	AT1G68190.2
jg2410	AT1G68460.1
jg2413	AT1G68490.1
jg2467	AT1G68870.1
jg2574	AT1G69800.2
jg2575	AT1G69810.1
jg2648	AT1G70400.3
jg2987	AT1G73480.1
jg2988	AT1G73490.2
jg2989	AT1G73500.1
jg3412	AT1G77420.1
jg3413	AT1G77450.1
jg3468	AT1G77960.1
jg3471	AT1G77980.1
jg3484	AT1G78100.1
jg24099	AT3G02770.1
jg24100	AT3G02780.1
jg24101	AT3G02790.1
jg24102	AT3G02800.1
jg24146	AT3G03150.1
jg24147	AT3G03160.1
jg24148	AT3G03170.1
jg24150	AT3G03190.1
jg24622	AT3G06730.1
jg24623	AT3G06740.1
jg24624	AT3G06750.1
jg25049	AT3G11000.2
jg25050	AT3G28890.1
jg25085	AT3G11380.1
jg25086	AT3G11385.1
jg25087	AT3G11402.1
jg25125	AT3G11720.3
jg25126	AT3G11730.1
jg25127	AT3G11740.1
jg25128	AT3G11745.1
jg25129	AT3G11750.1
jg25361	AT3G13682.1
jg25381	AT3G13820.1
jg25383	AT3G13830.1, AT1G11810.1
jg25384	AT3G13840.1
jg25385	AT3G13845.1
