annotation	A_thaliana
jg28498	AT1G01300.1
jg28499	AT1G01290.1
jg28500	AT1G01280.1
jg28501	AT1G01260.1
jg28784	AT1G04630.1
jg28785	AT1G04640.1
jg28905	AT1G05640.1
jg28906	AT1G05650.1
jg28907	AT1G05660.1
jg28948	AT1G06000.1
jg28949	AT1G06010.1
jg28950	AT1G06030.1
jg28952	AT1G06040.1
jg29008	AT1G06570.1
jg29009	AT1G06590.1
jg29117	AT1G07650.2
jg29118	AT1G07645.1
jg29282	AT1G09220.1
jg29283	AT1G09230.1
jg29284	AT1G09240.1
jg29301	AT1G09390.1
jg29302	AT1G09400.1
jg29305	AT1G09410.1, AT2G27229.1
jg29306	AT1G09415.1
jg29307	AT1G09420.2
jg29498	AT1G10890.1
jg29500	AT1G10900.1
jg29639	AT1G11960.1
jg29640	AT1G11980.1
jg29667	AT1G12244.1
jg29668	AT1G12250.1
jg29669	AT1G12260.1
jg29697	AT1G12540.1
jg29698	AT1G12550.1
jg29699	AT1G12560.1
jg29700	AT1G12570.1
jg29788	AT1G13260.1
jg29950	AT1G14686.1
jg29951	AT1G14687.1
jg29952	AT1G14688.1
jg29953	AT1G14690.1
jg30091	AT1G16000.1
jg30092	AT1G16010.1
jg30093	AT1G16022.1
jg30157	AT1G16750.1
jg30159	AT1G16760.2
jg30393	AT1G18700.5
jg30480	AT1G19520.1
jg30481	AT1G19530.1
jg30482	AT1G19540.1
jg30483	AT1G19570.1, AT1G19550.1
jg30484	AT1G19580.1
jg30503	AT1G19790.1
jg30504	AT1G19800.1
jg30505	AT1G19830.1
jg30507	AT5G02080.5
jg30508	AT1G19840.1
jg30687	AT5G34780.1, AT1G21400.5
jg30688	AT1G21410.1
jg30781	AT1G22200.1
jg30782	AT1G22210.1
jg30818	AT1G22570.1
jg30819	AT1G22590.2
jg30887	AT1G23201.2
jg30888	AT1G23210.1
jg30889	AT1G23220.1
jg30984	AT1G24140.1
jg30985	AT1G24145.1
jg31043	AT1G26970.1
jg31044	AT1G26960.1
jg31054	AT1G26830.1
jg31055	AT1G26840.1
jg31068	AT1G26890.1
jg31069	AT1G26820.1
jg31099	AT1G26560.1
jg31100	AT1G26550.1
jg31200	AT1G25230.3
jg31201	AT1G25220.2
jg31243	AT1G24340.1
jg31244	AT1G24330.1
jg31384	AT1G28550.1
jg31385	AT1G28560.3
jg31386	AT1G28580.1
jg31422	AT1G20680.1
jg31423	AT1G29110.1
jg31424	AT1G29110.1
jg31799	AT1G31720.1
jg31801	AT1G31730.1
jg31932	AT1G32780.1
jg31971	AT1G33220.1
jg31973	AT1G33230.2
jg32125	AT1G34490.1, AT1G34520.1
jg32142	AT1G34670.1
jg32223	AT1G35530.2
jg32224	AT1G35400.1, AT1G35410.1
jg32482	AT1G42980.1
jg32627	AT1G44608.1
jg32634	AT1G48690.1
jg32652	AT1G44835.2
jg32714	AT1G45230.1
jg32715	AT1G45474.1
jg32761	AT1G47290.2
jg32779	AT1G47480.1
jg32782	AT1G47510.1
jg32809	AT1G47670.1
jg32905	AT1G48280.1
jg32906	AT1G48300.1
jg32928	AT1G48480.1
jg32951	AT1G48700.4
jg32952	AT1G48740.2
jg33091	AT4G07675.1, AT1G49700.1
jg33100	AT1G49750.1
jg33102	AT1G49760.1
jg33131	AT1G49990.1
jg33132	AT1G50000.1
jg33133	AT1G04820.1, AT1G50010.1
jg33134	AT1G50020.1
jg33263	AT1G51200.1
jg33264	AT1G51210.1
jg33266	AT1G51220.1
jg33444	AT1G52550.1
