annotation	A_thaliana
jg29236	AT1G08750.1
jg29237	AT1G08760.1
jg29238	AT1G08770.1
jg29353	AT1G09810.1
jg29354	AT1G09812.1
jg30369	AT1G18470.1
jg30370	AT1G18480.1
jg32038	AT1G33800.1
jg32075	AT2G32900.1
jg32610	AT1G44224.1
jg33433	AT1G52410.2
jg1331	AT1G57620.1
jg1352	AT1G56660.1
jg1355	AT1G56650.1
jg2097	AT1G66400.1
jg2574	AT1G69800.2
jg2575	AT1G69810.1
jg2987	AT1G73480.1
jg2988	AT1G73490.2
jg2989	AT1G73500.1
jg3484	AT1G78100.1
jg24622	AT3G06730.1
jg24623	AT3G06740.1
jg25085	AT3G11380.1
jg25086	AT3G11385.1
jg25087	AT3G11402.1
jg25640	AT3G15990.1
jg25816	AT3G17230.1
jg25817	AT3G17227.1
jg27576	AT2G15560.1
jg17029	AT2G24960.1
jg20018	AT2G46190.1
jg20019	AT2G46200.1
jg20020	AT2G46210.1
jg15394	AT3G54600.1
jg15396	AT3G54610.1
jg6449	AT5G25630.2
jg6760	AT5G28150.1
jg7154	AT4G08455.1
jg7500	AT4G11330.1
jg7501	AT4G11340.1
jg9525	AT4G29080.1
jg10771	AT1G40083.1
jg10773	AT5G30520.1
jg10774	AT1G36970.1, AT4G05555.1, AT3G31560.1
jg11039	AT4G16180.2
jg11618	AT4G13070.1
jg20972	AT5G42960.1
jg20973	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20974	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20975	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20976	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg22235	AT5G54400.1
jg22236	AT5G54330.1
