CHROM	POS	scaffold	start	end	annotation	hit_dist
scaffold_1	361022	scaffold_1	355758	357215	jg28498	4535.5
scaffold_1	361022	scaffold_1	359047	360147	jg28499	1425
scaffold_1	361022	scaffold_1	360313	362500	jg28500	384.5
scaffold_1	361022	scaffold_1	363478	365253	jg28501	3343.5
scaffold_1	1426806	scaffold_1	1423004	1424277	jg28784	3165.5
scaffold_1	1426806	scaffold_1	1424530	1426400	jg28785	1341
scaffold_1	1426806	scaffold_1	1429543	1430112	jg28786	3021.5
scaffold_1	1858298	scaffold_1	1852709	1854759	jg28905	4564
scaffold_1	1858298	scaffold_1	1855259	1857007	jg28906	2165
scaffold_1	1858298	scaffold_1	1858953	1860722	jg28907	1539.5
scaffold_1	1858298	scaffold_1	1862036	1862956	jg28908	4198
scaffold_1	2004668	scaffold_1	2000002	2001306	jg28948	4014
scaffold_1	2004668	scaffold_1	2001796	2003201	jg28949	2169.5
scaffold_1	2004668	scaffold_1	2004252	2005739	jg28950	327.5
scaffold_1	2004668	scaffold_1	2006548	2007498	jg28951	2355
scaffold_1	2004668	scaffold_1	2008133	2009157	jg28952	3977
scaffold_1	2200765	scaffold_1	2196916	2198362	jg29008	3126
scaffold_1	2200765	scaffold_1	2199146	2209726	jg29009	3671
scaffold_1	2598459	scaffold_1	2591621	2598062	jg29117	3617.5
scaffold_1	2598459	scaffold_1	2599247	2599923	jg29118	1126
scaffold_1	2598459	scaffold_1	2601466	2602140	jg29119	3344
scaffold_1	3265868	scaffold_1	3260865	3262382	jg29282	4244.5
scaffold_1	3265868	scaffold_1	3262550	3265518	jg29283	1834
scaffold_1	3265868	scaffold_1	3267713	3268675	jg29284	2326
scaffold_1	3265868	scaffold_1	3269261	3270681	jg29285	4103
scaffold_1	3323330	scaffold_1	3318450	3320500	jg29301	3855
scaffold_1	3323330	scaffold_1	3320660	3321979	jg29302	2010.5
scaffold_1	3323330	scaffold_1	3322604	3322891	jg29303	582.5
scaffold_1	3323330	scaffold_1	3322908	3323303	jg29304	224.5
scaffold_1	3323330	scaffold_1	3323319	3324389	jg29305	524
scaffold_1	3323330	scaffold_1	3325026	3325361	jg29306	1863.5
scaffold_1	3323330	scaffold_1	3325776	3328832	jg29307	3974
scaffold_1	3985708	scaffold_1	3980677	3981448	jg29497	4645.5
scaffold_1	3985708	scaffold_1	3982375	3983830	jg29498	2605.5
scaffold_1	3985708	scaffold_1	3984281	3985453	jg29499	841
scaffold_1	3985708	scaffold_1	3985899	3989821	jg29500	2152
scaffold_1	4485184	scaffold_1	4482973	4486221	jg29639	587
scaffold_1	4485184	scaffold_1	4487960	4488202	jg29640	2897
scaffold_1	4614743	scaffold_1	4610348	4611502	jg29667	3818
scaffold_1	4614743	scaffold_1	4611895	4613903	jg29668	1844
scaffold_1	4614743	scaffold_1	4615955	4617337	jg29669	1903
scaffold_1	4754850	scaffold_1	4749497	4750570	jg29697	4816.5
scaffold_1	4754850	scaffold_1	4751085	4752337	jg29698	3139
scaffold_1	4754850	scaffold_1	4753427	4754446	jg29699	913.5
scaffold_1	4754850	scaffold_1	4755621	4758154	jg29700	2037.5
scaffold_1	5079206	scaffold_1	5081860	5083494	jg29788	3471
scaffold_1	5657693	scaffold_1	5653815	5654837	jg29950	3367
scaffold_1	5657693	scaffold_1	5656068	5656574	jg29951	1372
scaffold_1	5657693	scaffold_1	5657930	5659459	jg29952	1001.5
scaffold_1	5657693	scaffold_1	5660162	5663039	jg29953	3907.5
scaffold_1	6150663	scaffold_1	6147034	6147526	jg30091	3383
scaffold_1	6150663	scaffold_1	6147840	6149478	jg30092	2004
scaffold_1	6150663	scaffold_1	6153750	6154186	jg30093	3305
scaffold_1	6398287	scaffold_1	6393828	6396291	jg30157	3227.5
scaffold_1	6398287	scaffold_1	6398208	6398534	jg30158	84
scaffold_1	6398287	scaffold_1	6401266	6404422	jg30159	4557
scaffold_1	7263811	scaffold_1	7257220	7262582	jg30393	3910
scaffold_1	7583956	scaffold_1	7579292	7581858	jg30480	3381
scaffold_1	7583956	scaffold_1	7583063	7583752	jg30481	548.5
scaffold_1	7583956	scaffold_1	7584180	7585507	jg30482	887.5
scaffold_1	7583956	scaffold_1	7585710	7586818	jg30483	2308
scaffold_1	7583956	scaffold_1	7587312	7589417	jg30484	4408.5
scaffold_1	7652675	scaffold_1	7648180	7649663	jg30503	3753.5
scaffold_1	7659591	scaffold_1	7657828	7658965	jg30504	1194.5
scaffold_1	7659591	scaffold_1	7661139	7661453	jg30505	1705
scaffold_1	7687145	scaffold_1	7682384	7682689	jg30507	4608.5
scaffold_1	7687145	scaffold_1	7683587	7684048	jg30508	3327.5
scaffold_1	7687145	scaffold_1	7685578	7685921	jg30509	1395.5
scaffold_1	8409607	scaffold_1	8405911	8408683	jg30687	2310
scaffold_1	8409607	scaffold_1	8410813	8412604	jg30688	2101.5
scaffold_1	8782705	scaffold_1	8776506	8779154	jg30781	4875
scaffold_1	8782705	scaffold_1	8780136	8784078	jg30782	598
scaffold_1	8935139	scaffold_1	8933313	8935333	jg30818	816
scaffold_1	8935139	scaffold_1	8937745	8940097	jg30819	3782
scaffold_1	9250979	scaffold_1	9246932	9247513	jg30887	3756.5
scaffold_1	9250979	scaffold_1	9248912	9251024	jg30888	1011
scaffold_1	9250979	scaffold_1	9251487	9253050	jg30889	1289.5
scaffold_1	9551218	scaffold_1	9546683	9547840	jg30984	3956.5
scaffold_1	9551218	scaffold_1	9554045	9554431	jg30985	3020
scaffold_1	9551218	scaffold_1	9555494	9556605	jg30986	4831.5
scaffold_1	9737755	scaffold_1	9732410	9734875	jg31035	4112.5
scaffold_1	9737755	scaffold_1	9737301	9739235	jg31036	513
scaffold_1	9737755	scaffold_1	9740549	9741070	jg31037	3054.5
scaffold_1	9737755	scaffold_1	9741436	9742695	jg31038	4310.5
scaffold_1	9738123	scaffold_1	9732410	9734875	jg31035	4480.5
scaffold_1	9738123	scaffold_1	9737301	9739235	jg31036	145
scaffold_1	9738123	scaffold_1	9740549	9741070	jg31037	2686.5
scaffold_1	9738123	scaffold_1	9741436	9742695	jg31038	3942.5
scaffold_1	9739210	scaffold_1	9737301	9739235	jg31036	942
scaffold_1	9739210	scaffold_1	9740549	9741070	jg31037	1599.5
scaffold_1	9739210	scaffold_1	9741436	9742695	jg31038	2855.5
scaffold_1	9779022	scaffold_1	9773290	9775125	jg31043	4814.5
scaffold_1	9779022	scaffold_1	9779878	9781028	jg31044	1431
scaffold_1	9822184	scaffold_1	9817564	9818274	jg31052	4265
scaffold_1	9822184	scaffold_1	9819220	9820915	jg31053	2116.5
scaffold_1	9822184	scaffold_1	9822149	9825552	jg31054	1666.5
scaffold_1	9822184	scaffold_1	9826001	9827768	jg31055	4700.5
scaffold_1	9876118	scaffold_1	9871916	9875962	jg31067	2179
scaffold_1	9876118	scaffold_1	9876415	9877983	jg31068	1081
scaffold_1	9876118	scaffold_1	9879547	9880559	jg31069	3935
scaffold_1	10012588	scaffold_1	10009467	10012623	jg31099	1543
scaffold_1	10012588	scaffold_1	10015292	10016202	jg31100	3159
scaffold_1	10392297	scaffold_1	10387193	10387444	jg31199	4978.5
scaffold_1	10392297	scaffold_1	10390682	10392595	jg31200	658.5
scaffold_1	10392297	scaffold_1	10393505	10395553	jg31201	2232
scaffold_1	10557907	scaffold_1	10552610	10556025	jg31243	3589.5
scaffold_1	10557907	scaffold_1	10556668	10559764	jg31244	309
scaffold_1	11162749	scaffold_1	11158108	11158833	jg31384	4278.5
scaffold_1	11162749	scaffold_1	11159857	11165768	jg31385	63.5
scaffold_1	11162749	scaffold_1	11166609	11168377	jg31386	4744
scaffold_1	11306844	scaffold_1	11303826	11305058	jg31422	2402
scaffold_1	11306844	scaffold_1	11306025	11306576	jg31423	543.5
scaffold_1	11306844	scaffold_1	11307776	11309222	jg31424	1655
scaffold_1	12568502	scaffold_1	12566728	12568533	jg31724	871.5
scaffold_1	12883451	scaffold_1	12880706	12881494	jg31799	2351
scaffold_1	12883451	scaffold_1	12883636	12884627	jg31800	680.5
scaffold_1	12883451	scaffold_1	12884738	12888765	jg31801	3300.5
scaffold_1	13501706	scaffold_1	13498545	13501083	jg31932	1892
scaffold_1	13686593	scaffold_1	13681877	13682914	jg31971	4197.5
scaffold_1	13686593	scaffold_1	13687818	13688972	jg31972	1802
scaffold_1	13686593	scaffold_1	13689387	13692370	jg31973	4285.5
scaffold_1	14377078	scaffold_1	14375747	14376751	jg32125	829
scaffold_1	14489848	scaffold_1	14488228	14489512	jg32142	978
scaffold_1	14911761	scaffold_1	14903510	14910746	jg32223	4633
scaffold_1	14911761	scaffold_1	14911048	14912404	jg32224	35
scaffold_1	16103829	scaffold_1	16098857	16101405	jg32426	3698
scaffold_1	16909721	scaffold_1	16913611	16915555	jg32482	4862
scaffold_1	16985020	scaffold_1	16981368	16982777	jg32498	2947.5
scaffold_1	17719184	scaffold_1	17714891	17715629	jg32627	3924
scaffold_1	17719184	scaffold_1	17720774	17721409	jg32628	1907.5
scaffold_1	17760158	scaffold_1	17757402	17757749	jg32633	2582.5
scaffold_1	17764304	scaffold_1	17768751	17769023	jg32634	4583
scaffold_1	17886754	scaffold_1	17886603	17891056	jg32652	2075.5
scaffold_1	18217019	scaffold_1	18216309	18217758	jg32714	14.5
scaffold_1	18217019	scaffold_1	18220661	18221757	jg32715	4190
scaffold_1	18412772	scaffold_1	18410634	18411338	jg32759	1786
scaffold_1	18412772	scaffold_1	18414562	18415808	jg32760	2413
scaffold_1	18412772	scaffold_1	18415847	18418707	jg32761	4505
scaffold_1	18492868	scaffold_1	18488174	18488545	jg32777	4508.5
scaffold_1	18492868	scaffold_1	18489662	18490207	jg32778	2933.5
scaffold_1	18492868	scaffold_1	18491074	18492525	jg32779	1068.5
scaffold_1	18520461	scaffold_1	18514259	18516764	jg32782	4949.5
scaffold_1	18651197	scaffold_1	18651601	18654317	jg32809	1762
scaffold_1	19166023	scaffold_1	19162036	19164425	jg32905	2792.5
scaffold_1	19166023	scaffold_1	19167587	19168750	jg32906	2145.5
scaffold_1	19254402	scaffold_1	19248577	19252897	jg32927	3665
scaffold_1	19254402	scaffold_1	19256161	19258445	jg32928	2901
scaffold_1	19350257	scaffold_1	19347782	19349948	jg32951	1392
scaffold_1	19350257	scaffold_1	19352213	19354627	jg32952	3163
scaffold_1	19772249	scaffold_1	19768141	19772515	jg33051	1921
scaffold_1	19772249	scaffold_1	19774063	19775681	jg33052	2623
scaffold_1	19961991	scaffold_1	19957172	19958182	jg33090	4314
scaffold_1	19961991	scaffold_1	19958881	19959665	jg33091	2718
scaffold_1	19961991	scaffold_1	19960688	19961931	jg33092	681.5
scaffold_1	19961991	scaffold_1	19962271	19962570	jg33093	429.5
scaffold_1	19992520	scaffold_1	19988491	19988998	jg33099	3775.5
scaffold_1	19992520	scaffold_1	19990842	19992699	jg33100	749.5
scaffold_1	19992520	scaffold_1	19992011	19992283	jg33101	373
scaffold_1	19992520	scaffold_1	19995438	19998423	jg33102	4410.5
scaffold_1	20103870	scaffold_1	20099239	20100450	jg33130	4025.5
scaffold_1	20103870	scaffold_1	20100818	20102086	jg33131	2418
scaffold_1	20103870	scaffold_1	20102281	20104248	jg33132	605.5
scaffold_1	20103870	scaffold_1	20104692	20106678	jg33133	1815
scaffold_1	20103870	scaffold_1	20107228	20108704	jg33134	4096
scaffold_1	20707404	scaffold_1	20702475	20704414	jg33263	3959.5
scaffold_1	20707404	scaffold_1	20707439	20708821	jg33264	726
scaffold_1	20707404	scaffold_1	20709871	20710329	jg33265	2696
scaffold_1	20707404	scaffold_1	20711370	20711948	jg33266	4255
scaffold_1	21055513	scaffold_1	21051183	21051623	jg33350	4110
scaffold_1	21055513	scaffold_1	21052762	21055691	jg33351	1286.5
scaffold_1	21444369	scaffold_1	21439703	21440549	jg33444	4243
scaffold_1	21444369	scaffold_1	21441153	21442169	jg33445	2708
scaffold_1	21444369	scaffold_1	21442848	21444183	jg33446	853.5
scaffold_1	21444369	scaffold_1	21446904	21447376	jg33447	2771
scaffold_1	22076380	scaffold_1	22071796	22074435	jg33604	3264.5
scaffold_1	22076380	scaffold_1	22075111	22076280	jg33605	684.5
scaffold_1	22076380	scaffold_1	22076914	22077891	jg33606	1022.5
scaffold_1	22076380	scaffold_1	22078148	22079374	jg33607	2381
scaffold_1	22336489	scaffold_1	22331365	22331928	jg33681	4842.5
scaffold_1	22336489	scaffold_1	22334870	22335589	jg33682	1259.5
scaffold_1	22336489	scaffold_1	22336824	22337738	jg33683	792
scaffold_1	22336489	scaffold_1	22339434	22340442	jg33684	3449
scaffold_1	22407305	scaffold_1	22404788	22405168	jg33697	2327
scaffold_1	22407305	scaffold_1	22405689	22406920	jg33698	1000.5
scaffold_1	22407305	scaffold_1	22407214	22409136	jg33699	870
scaffold_1	22588954	scaffold_1	22583945	22586695	jg33746	3634
scaffold_1	22588954	scaffold_1	22588809	22592069	jg33747	1485
scaffold_2	239291	scaffold_2	234641	234907	jg408	4517
scaffold_2	239291	scaffold_2	235395	236519	jg409	3334
scaffold_2	239291	scaffold_2	237110	238394	jg410	1539
scaffold_2	239291	scaffold_2	242783	243862	jg411	4031.5
scaffold_2	481001	scaffold_2	482792	486317	jg477	3553.5
scaffold_2	481195	scaffold_2	482792	486317	jg477	3359.5
scaffold_2	580922	scaffold_2	577591	578861	jg496	2696
scaffold_2	580922	scaffold_2	580001	582241	jg497	199
scaffold_2	580922	scaffold_2	583067	584740	jg498	2981.5
scaffold_2	950061	scaffold_2	945322	945867	jg593	4466.5
scaffold_2	1528535	scaffold_2	1523877	1527631	jg722	2781
scaffold_2	1528535	scaffold_2	1528611	1537025	jg723	4283
scaffold_2	1631934	scaffold_2	1628965	1629555	jg753	2674
scaffold_2	1905906	scaffold_2	1903482	1904157	jg803	2086.5
scaffold_2	1905906	scaffold_2	1905444	1905683	jg804	342.5
scaffold_2	2060368	scaffold_2	2057752	2058198	jg841	2393
scaffold_2	2060368	scaffold_2	2060674	2063433	jg842	1685.5
scaffold_2	2167331	scaffold_2	2169381	2170951	jg861	2835
scaffold_2	2522508	scaffold_2	2519296	2520603	jg953	2558.5
scaffold_2	2531337	scaffold_2	2526123	2530729	jg954	2911
scaffold_2	2531337	scaffold_2	2533183	2535038	jg955	2773.5
scaffold_2	2531432	scaffold_2	2526123	2530729	jg954	3006
scaffold_2	2531432	scaffold_2	2533183	2535038	jg955	2678.5
scaffold_2	2639195	scaffold_2	2634017	2637685	jg980	3344
scaffold_2	2766926	scaffold_2	2770041	2771234	jg1000	3711.5
scaffold_2	3013211	scaffold_2	3008681	3012791	jg1053	2475
scaffold_2	3173585	scaffold_2	3167055	3171845	jg1088	4135
scaffold_2	3173585	scaffold_2	3174492	3177112	jg1089	2217
scaffold_2	3185949	scaffold_2	3181888	3182439	jg1090	3785.5
scaffold_2	3185949	scaffold_2	3186977	3188865	jg1091	1972
scaffold_2	3185949	scaffold_2	3190337	3191440	jg1092	4939.5
scaffold_2	3307613	scaffold_2	3304043	3304942	jg1114	3120.5
scaffold_2	3307613	scaffold_2	3309431	3310879	jg1115	2542
scaffold_2	3307613	scaffold_2	3311432	3312494	jg1116	4350
scaffold_2	3340544	scaffold_2	3338792	3339007	jg1123	1644.5
scaffold_2	3340544	scaffold_2	3341258	3345873	jg1124	3021.5
scaffold_2	3678768	scaffold_2	3673576	3674368	jg1182	4796
scaffold_2	3678768	scaffold_2	3681449	3685421	jg1183	4667
scaffold_2	4117121	scaffold_2	4114067	4115246	jg1268	2464.5
scaffold_2	4117121	scaffold_2	4118843	4119190	jg1269	1895.5
scaffold_2	4117121	scaffold_2	4120545	4120892	jg1270	3597.5
scaffold_2	4749230	scaffold_2	4749424	4753592	jg1396	2278
scaffold_2	5320246	scaffold_2	5318199	5319625	jg1484	1334
scaffold_2	8773725	scaffold_2	8772318	8778147	jg1947	1507.5
scaffold_2	8792039	scaffold_2	8788468	8792518	jg1949	1546
scaffold_2	8882555	scaffold_2	8879530	8879909	jg1963	2835.5
scaffold_2	8882555	scaffold_2	8881775	8882780	jg1964	277.5
scaffold_2	8882555	scaffold_2	8882970	8885767	jg1965	1813.5
scaffold_2	9610530	scaffold_2	9604747	9607129	jg2096	4592
scaffold_2	9610530	scaffold_2	9612255	9612725	jg2097	1960
scaffold_2	9680238	scaffold_2	9676058	9676951	jg2107	3733.5
