annotation	A_thaliana
jg31045	AT1G26945.1
jg31046	AT1G26940.1
jg31690	AT1G31020.1
jg32265	AT1G35830.1
jg32718	AT1G55928.1
jg32779	AT1G47480.1
jg2007	AT1G65820.3
jg2322	AT1G67780.1
jg2485	AT1G69040.2
jg2600	AT1G69990.1
jg2601	AT1G70000.1
jg3484	AT1G78100.1
jg25599	AT3G15540.1
jg25600	AT3G15550.1
jg26856	AT3G25180.1
jg27593	AT2G16225.1
jg27671	AT2G16280.1
jg27686	AT2G16365.1
jg17317	AT3G58950.1
jg17375	AT2G26530.1
jg19036	AT2G38510.1
jg20198	AT2G47830.1
jg20199	AT2G47840.1
jg20200	AT2G47850.1
jg13216	AT3G25577.1
jg13643	AT3G28700.1
jg13646	AT3G28710.1
jg15274	AT3G53420.1
jg15276	AT3G53440.1
jg15393	AT3G54580.1
jg5612	AT5G17750.1
jg5613	AT5G17760.1
jg6285	AT5G24313.1
jg6333	AT5G24655.1
jg6449	AT5G25630.2
jg6486	AT5G25930.1
jg6652	AT5G27490.1
jg6653	AT5G27470.1
jg7165	AT3G25510.1
jg7669	AT4G12620.1
jg7820	AT4G03635.1
jg7821	AT4G03620.1
jg7822	AT4G03610.4
jg7986	AT4G02320.1
jg9223	AT4G31770.1
jg9224	AT4G31760.1
jg9225	AT4G31750.1
jg9226	AT4G31740.1
jg10992	AT4G16510.1
jg10994	AT4G16500.1
jg12274	AT5G55450.1
jg12314	AT5G38150.1
jg12315	AT5G38160.1, AT5G38170.1
jg21664	AT5G50120.1
jg22636	AT5G57360.2
jg22637	AT5G57370.1
jg22864	AT5G59320.1
jg22865	AT5G59320.1
jg23266	AT5G63030.1
jg23267	AT5G63040.1
