annotation	A_thaliana
jg28432	AT1G01910.1
jg28433	AT1G01900.1
jg28434	AT1G01880.1
jg28511	AT1G01160.2
jg28512	AT1G01150.1
jg28513	AT1G01140.3
jg28576	AT5G61710.1
jg28579	AT1G02690.2
jg28580	AT1G02700.1
jg28581	AT1G02710.1
jg28628	AT1G03120.1
jg28629	AT1G03130.1
jg28630	AT1G03140.1
jg28631	AT1G03150.1
jg28634	AT1G03170.1
jg28635	AT1G03190.1
jg28641	AT1G03260.1
jg28642	AT1G03270.1
jg28643	AT1G03280.1
jg28884	AT1G05460.1
jg28885	AT1G05470.1
jg29127	AT1G07720.2
jg29128	AT1G07725.1
jg29172	AT1G08090.1
jg29173	AT1G08100.1
jg29172	AT1G08090.1
jg29173	AT1G08100.1
jg29172	AT1G08090.1
jg29173	AT1G08100.1
jg29173	AT1G08100.1
jg29174	AT1G08110.4
jg29505	AT1G10950.1
jg29506	AT1G10960.1
jg29507	AT1G10970.1
jg29550	AT1G11270.1
jg29729	AT1G12740.2
jg29730	AT1G12750.1
jg29732	AT1G12760.1
jg29877	AT1G14048.1
jg29878	AT1G14060.1
jg30356	AT1G18340.1
jg30357	AT1G18350.1
jg30358	AT1G18360.1
jg30503	AT1G19790.1
jg30680	AT1G21340.1
jg30681	AT1G21350.5
jg30720	AT1G21690.3
jg30721	AT1G21695.1
jg30722	AT1G21700.1
jg30779	AT1G22180.2
jg30780	AT1G22190.1
jg30781	AT1G22200.1
jg30877	AT1G23150.1
jg30878	AT1G23160.1
jg31045	AT1G26945.1
jg31046	AT1G26940.1
jg31068	AT1G26890.1
jg31411	AT1G29040.1
jg31511	AT1G29720.1
jg31529	AT1G29880.1
jg31551	AT1G30090.1
jg31669	AT1G30920.1
jg31690	AT1G31020.1
jg31691	AT1G31040.1
jg31692	AT1G31050.6
jg31971	AT1G33220.1
jg31973	AT1G33230.2
jg32060	AT1G33870.1
jg32078	AT1G34060.1
jg32080	AT2G20465.1
jg32081	AT1G36970.1, AT4G05555.1, AT3G31560.1
jg32117	AT1G34370.1
jg32118	AT1G34380.2
jg32223	AT1G35530.2
jg32224	AT1G35400.1, AT1G35410.1
jg32230	AT1G35580.1
jg32265	AT1G35830.1
jg32314	AT1G36730.1
jg32334	AT3G27495.1
jg32342	AT1G43970.1
jg32467	AT3G32160.1
jg32539	AT1G43770.2
jg32718	AT1G55928.1
jg32762	AT1G47317.1
jg32763	AT1G47317.1
jg32779	AT1G47480.1
jg32782	AT1G47510.1
jg32876	AT1G48010.1
jg32877	AT1G48020.1
jg32878	AT1G48030.1
jg33075	AT1G49560.1
jg33076	AT1G49570.1
jg33077	AT1G49580.1
jg33145	AT1G50110.1
jg33266	AT1G51220.1
jg33412	AT1G52290.1
jg33675	AT1G55170.1
jg33676	AT1G55175.1
jg357	AT1G64710.1
jg358	AT1G64700.1
jg378	AT1G64520.1
jg379	AT1G64510.2
jg426	AT1G64180.1
jg427	AT1G64170.1
jg469	AT1G63930.1
jg470	AT1G63910.1
jg478	AT1G63855.4
jg479	AT1G63850.1
jg522	AT1G63530.3
jg523	AT1G63535.1, AT1G63522.1
jg524	AT1G63520.1
jg554	AT1G63220.1
jg598	AT1G63000.1
jg670	AT1G62530.1
jg766	AT4G03950.1, AT1G61800.2
jg806	AT1G61550.1
jg806	AT1G61550.1
jg809	AT1G61540.1
jg820	AT1G61430.1
jg821	AT1G61420.2
jg820	AT1G61430.1
jg821	AT1G61420.2
jg822	AT1G61415.1
jg855	AT1G61160.1
jg856	AT1G61150.1
jg884	AT1G60970.1
jg885	AT1G60960.1
jg886	AT1G60950.1
jg1124	AT1G58520.1
jg1278	AT3G44115.1, AT1G57775.1, AT1G57777.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57760.1, AT4G07515.1, AT4G08025.1, AT5G34908.1
jg1279	AT3G44115.1, AT1G57775.1, AT1G57777.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57760.1, AT4G07515.1, AT4G08025.1, AT5G34908.1
jg1280	AT3G44115.1, AT1G57775.1, AT1G57777.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57760.1, AT4G07515.1, AT4G08025.1, AT5G34908.1
jg1281	AT1G57770.1
jg1395	AT1G59690.1
jg1436	AT1G56260.1
jg1437	AT1G56250.1, AT1G56240.1
jg1448	AT1G56220.3
jg1476	AT1G54940.1
jg1715	AT1G65130.1
jg1952	AT1G59835.1
jg2007	AT1G65820.3
jg2016	AT1G68270.1
jg2064	AT1G66230.1
jg2204	AT4G11690.1
jg2205	AT4G11700.1
jg2232	AT3G02560.1
jg2233	AT1G67130.1
jg2248	AT1G67270.1
jg2320	AT1G67770.1
jg2321	AT1G67775.1
jg2322	AT1G67780.1
jg2407	AT1G68430.1
jg2408	AT1G68440.1
jg2409	AT1G68450.1
jg2485	AT1G69040.2
jg2600	AT1G69990.1
jg2601	AT1G70000.1
jg2875	AT1G72416.3
jg2876	AT1G72420.1
jg3017	AT1G73750.2
jg3018	AT1G73760.1
jg3019	AT1G73780.1
jg3020	AT1G73790.1
jg3155	AT1G75040.1
jg3229	AT1G75720.1
jg3230	AT1G75730.1
jg3402	AT1G77340.1
jg3403	AT1G77350.1
jg3404	AT1G77360.1
jg3405	AT1G77370.2
jg3484	AT1G78100.1
jg3715	AT1G80520.1
jg3716	AT1G80510.1
jg3717	AT1G80500.1
jg23957	AT3G01410.1
jg23958	AT3G01400.1
jg23959	AT3G01380.2
jg24248	AT3G03910.1
jg24249	AT3G03920.1
jg24250	AT3G03930.1
jg24261	AT3G03990.1
jg24262	AT3G04000.1
jg24263	AT3G04010.1
jg24264	AT3G04020.1
jg24375	AT3G04870.1
jg24376	AT3G04880.1
jg24377	AT3G04890.4
jg24378	AT3G04900.1
jg24504	AT3G05800.1
jg24505	AT3G05810.1
jg24506	AT3G05820.2
jg24510	AT3G05858.1
jg24511	AT3G05860.1
jg24818	AT3G09000.1
jg24819	AT3G09010.1
jg24875	AT3G09490.1
jg24876	AT3G09490.1
jg24877	AT3G09500.1
jg24903	AT3G09760.1
jg24904	AT3G09770.1
jg24905	AT3G09780.1
jg24910	AT3G09830.1
jg24911	AT3G09840.1
jg25144	AT3G11920.1
jg25145	AT3G11930.3
jg25146	AT3G11945.2
jg25145	AT3G11930.3
jg25146	AT3G11945.2
jg25147	AT3G11950.1
jg25553	AT3G15300.1
jg25599	AT3G15540.1
jg25600	AT3G15550.1
jg25761	AT3G16840.2
jg25762	AT3G16850.1
jg25773	AT3G16940.1
jg25774	AT3G16950.2
jg25775	AT3G16960.1
jg25776	AT3G16980.1
jg25845	AT3G17410.1
jg25846	AT3G17420.1
jg25919	AT3G18010.1
jg25920	AT3G18020.1
jg25921	AT3G18030.1
jg25968	AT3G18370.1
jg26092	AT3G19510.1
jg26094	AT3G19520.3
jg26139	AT3G19910.1
jg26140	AT3G19920.2
jg26141	AT3G19930.1
jg26156	AT3G20070.1
jg26157	AT4G15330.1
jg26396	AT3G21910.1
jg26398	AT3G21930.1, AT3G21920.2
jg26399	AT3G21930.1, AT3G21920.2
jg26396	AT3G21910.1
jg26398	AT3G21930.1, AT3G21920.2
jg26399	AT3G21930.1, AT3G21920.2
jg26450	AT3G22240.1
jg26530	AT3G22942.1
jg26532	AT3G22950.1
jg26615	AT3G23640.3
jg26653	AT4G09660.1, AT1G19260.1
jg26654	AT3G23840.1
jg26662	AT3G23890.1
jg26856	AT3G25180.1
jg26857	AT3G25180.1
jg26909	AT2G04070.1
jg26910	AT2G04080.1
jg26944	AT2G04400.1
jg26945	AT2G04410.1
jg26947	AT2G04425.1
jg26959	AT4G16095.1
jg26960	AT2G04480.1
jg27039	AT2G05260.1
jg27071	AT2G05520.1
jg27072	AT2G05530.1
jg27071	AT2G05520.1
jg27072	AT2G05530.1
jg27090	AT2G05755.1
jg27172	AT2G06050.1
jg27398	AT2G13542.1, AT1G59833.1
jg27399	AT2G13560.1
jg27399	AT2G13560.1
jg27446	AT2G14210.2
jg27474	AT2G14530.1
jg27475	AT1G62160.1
jg27494	AT2G14680.2
jg27495	AT2G14690.1
jg27495	AT2G14690.1
jg27495	AT2G14690.1
jg27529	AT4G03070.1
jg27530	AT2G14880.1
jg27535	AT2G14960.1
jg27593	AT2G16225.1
jg27622	AT2G15880.1
jg27623	AT2G15890.1
jg27648	AT2G16070.2
jg27649	AT2G16090.1
jg27670	AT2G16270.1
jg27671	AT2G16280.1
jg27686	AT2G16365.1
jg27700	AT2G16440.1
jg27701	AT5G48420.1
jg27702	AT2G16460.1
jg27706	AT2G16500.1
jg27755	AT2G16660.1
jg27941	AT2G18010.1
jg28102	AT2G19180.1
jg28175	AT2G19800.1
jg28226	AT2G20160.1
jg28227	AT2G20170.1
jg16686	AT2G22590.1
jg16687	AT2G22600.1
jg16735	AT2G22942.1
jg16763	AT2G23150.1
jg16764	AT2G23160.1
jg16782	AT2G23260.1
jg16783	AT2G23270.1
jg16979	AT2G24700.1
jg16980	AT2G24710.3
jg17058	AT2G25160.1
jg17183	AT2G25780.1
jg17184	AT2G25790.1
jg17317	AT3G58950.1
jg17321	AT3G58950.1
jg17322	AT3G58950.1
jg17321	AT3G58950.1
