CHROM	POS	scaffold	start	end	annotation	hit_dist
scaffold_1	225021	scaffold_1	220110	221581	jg28457	4175.5
scaffold_1	225021	scaffold_1	223724	224833	jg28458	742.5
scaffold_1	225021	scaffold_1	226358	228842	jg28459	2579
scaffold_1	396123	scaffold_1	398548	399480	jg28509	2891
scaffold_1	537021	scaffold_1	533206	535082	jg28545	2877
scaffold_1	537021	scaffold_1	536433	537569	jg28546	20
scaffold_1	537021	scaffold_1	539415	541598	jg28547	3485.5
scaffold_1	547143	scaffold_1	547596	549900	jg28548	1605
scaffold_1	547143	scaffold_1	550425	550832	jg28549	3485.5
scaffold_1	991794	scaffold_1	986103	988094	jg28678	4695.5
scaffold_1	991794	scaffold_1	992488	993172	jg28679	1036
scaffold_1	991794	scaffold_1	993925	994269	jg28680	2303
scaffold_1	991794	scaffold_1	994297	997700	jg28681	4204.5
scaffold_1	2243007	scaffold_1	2238457	2239673	jg29016	3942
scaffold_1	2243007	scaffold_1	2240199	2242630	jg29017	1592.5
scaffold_1	2243007	scaffold_1	2243384	2246383	jg29018	1876.5
scaffold_1	2588865	scaffold_1	2586269	2587591	jg29116	1935
scaffold_1	2987491	scaffold_1	2982557	2983810	jg29220	4307.5
scaffold_1	2987491	scaffold_1	2984815	2985839	jg29221	2164
scaffold_1	2987491	scaffold_1	2988614	2991703	jg29222	2667.5
scaffold_1	3064614	scaffold_1	3060972	3064131	jg29236	2062.5
scaffold_1	3064614	scaffold_1	3065513	3068475	jg29237	2380
scaffold_1	3064614	scaffold_1	3068993	3069622	jg29238	4693.5
scaffold_1	3233683	scaffold_1	3228225	3229245	jg29272	4948
scaffold_1	3233683	scaffold_1	3230139	3230870	jg29273	3178.5
scaffold_1	3233683	scaffold_1	3231714	3233587	jg29274	1032.5
scaffold_1	3233683	scaffold_1	3235044	3240984	jg29275	4331
scaffold_1	3481453	scaffold_1	3477567	3479786	jg29353	2776.5
scaffold_1	3481453	scaffold_1	3484383	3485213	jg29354	3345
scaffold_1	3699498	scaffold_1	3695280	3696686	jg29417	3515
scaffold_1	3699498	scaffold_1	3696911	3699164	jg29418	1460.5
scaffold_1	3699498	scaffold_1	3699928	3701224	jg29419	1078
scaffold_1	3699498	scaffold_1	3702132	3703188	jg29420	3162
scaffold_1	4535346	scaffold_1	4530964	4531591	jg29651	4068.5
scaffold_1	4535346	scaffold_1	4536483	4536896	jg29652	1343.5
scaffold_1	4989160	scaffold_1	4987825	4989021	jg29770	737
scaffold_1	4989160	scaffold_1	4992393	4993984	jg29771	4028.5
scaffold_1	5159815	scaffold_1	5154232	5155767	jg29804	4815.5
scaffold_1	5159815	scaffold_1	5157816	5158799	jg29805	1507.5
scaffold_1	5159815	scaffold_1	5160548	5161025	jg29806	971.5
scaffold_1	5159815	scaffold_1	5162005	5164034	jg29807	3204.5
scaffold_1	5239807	scaffold_1	5236559	5237242	jg29832	2906.5
scaffold_1	5239807	scaffold_1	5238617	5240982	jg29833	7.5
scaffold_1	5239807	scaffold_1	5241223	5242529	jg29834	2069
scaffold_1	5239807	scaffold_1	5242821	5243795	jg29835	3501
scaffold_1	5239807	scaffold_1	5244081	5245201	jg29836	4834
scaffold_1	5692049	scaffold_1	5686321	5688655	jg29958	4561
scaffold_1	5692049	scaffold_1	5690718	5691917	jg29959	731.5
scaffold_1	5692049	scaffold_1	5692455	5695219	jg29960	1788
scaffold_1	5692049	scaffold_1	5696334	5696678	jg29961	4457
scaffold_1	5909183	scaffold_1	5905273	5908019	jg30021	2537
scaffold_1	5909183	scaffold_1	5910378	5911244	jg30022	1628
scaffold_1	6404678	scaffold_1	6401266	6404422	jg30159	1834
scaffold_1	6404678	scaffold_1	6404893	6406102	jg30160	819.5
scaffold_1	6404678	scaffold_1	6406463	6410721	jg30161	3914
scaffold_1	6706731	scaffold_1	6702371	6705850	jg30247	2620.5
scaffold_1	6706731	scaffold_1	6707690	6709933	jg30248	2080.5
scaffold_1	7175784	scaffold_1	7171565	7175231	jg30369	2386
scaffold_1	7175784	scaffold_1	7177945	7179120	jg30370	2748.5
scaffold_1	7958847	scaffold_1	7955816	7956166	jg30579	2856
scaffold_1	7958847	scaffold_1	7957006	7957942	jg30580	1373
scaffold_1	7958847	scaffold_1	7961028	7961886	jg30581	2610
scaffold_1	8116725	scaffold_1	8113569	8114108	jg30625	2886.5
scaffold_1	8116725	scaffold_1	8114530	8117976	jg30626	472
scaffold_1	8878086	scaffold_1	8874840	8883858	jg30807	1263
scaffold_1	9108682	scaffold_1	9102860	9107213	jg30852	3645.5
scaffold_1	9108682	scaffold_1	9107796	9110251	jg30853	341.5
scaffold_1	9108682	scaffold_1	9110722	9112647	jg30854	3002.5
scaffold_1	9121917	scaffold_1	9116359	9117723	jg30856	4876
scaffold_1	9121917	scaffold_1	9118193	9119778	jg30857	2931.5
scaffold_1	9121917	scaffold_1	9120827	9121321	jg30858	843
scaffold_1	9121917	scaffold_1	9125267	9126073	jg30859	3753
scaffold_1	9424111	scaffold_1	9425129	9427951	jg30941	2429
scaffold_1	9790093	scaffold_1	9785189	9786116	jg31045	4440.5
scaffold_1	9790093	scaffold_1	9793021	9794802	jg31046	3818.5
scaffold_1	10331310	scaffold_1	10324884	10329851	jg31181	3942.5
scaffold_1	10331310	scaffold_1	10334158	10335235	jg31182	3386.5
scaffold_1	10618244	scaffold_1	10616213	10617032	jg31260	1621.5
scaffold_1	10618244	scaffold_1	10618987	10621270	jg31261	1884.5
scaffold_1	10618244	scaffold_1	10621710	10622625	jg31262	3923.5
scaffold_1	10780399	scaffold_1	10776616	10780894	jg31301	1644
scaffold_1	10780399	scaffold_1	10782144	10785317	jg31302	3331.5
scaffold_1	10911852	scaffold_1	10915763	10916274	jg31331	4166.5
scaffold_1	11130348	scaffold_1	11125817	11127376	jg31374	3751.5
scaffold_1	11130348	scaffold_1	11128613	11129014	jg31375	1534.5
scaffold_1	11130348	scaffold_1	11131638	11133070	jg31376	2006
scaffold_1	11130348	scaffold_1	11133418	11134994	jg31377	3858
scaffold_1	11306844	scaffold_1	11303826	11305058	jg31422	2402
scaffold_1	11306844	scaffold_1	11306025	11306576	jg31423	543.5
scaffold_1	11306844	scaffold_1	11307776	11309222	jg31424	1655
scaffold_1	11439793	scaffold_1	11435751	11438119	jg31458	2858
scaffold_1	11439793	scaffold_1	11439466	11440107	jg31459	6.5
scaffold_1	11715547	scaffold_1	11714387	11714941	jg31539	883
scaffold_1	11715547	scaffold_1	11715816	11718715	jg31540	1718.5
scaffold_1	11715547	scaffold_1	11718811	11719373	jg31541	3545
scaffold_1	11875027	scaffold_1	11869246	11873790	jg31568	3509
scaffold_1	11875027	scaffold_1	11875402	11875650	jg31569	499
scaffold_1	11875027	scaffold_1	11879023	11879304	jg31570	4136.5
scaffold_1	12427502	scaffold_1	12423533	12423904	jg31689	3783.5
scaffold_1	12427502	scaffold_1	12425438	12427448	jg31690	1059
scaffold_1	12564736	scaffold_1	12560030	12561672	jg31722	3885
scaffold_1	12564736	scaffold_1	12562642	12564045	jg31723	1392.5
scaffold_1	12564736	scaffold_1	12566728	12568533	jg31724	2894.5
scaffold_1	13287705	scaffold_1	13283208	13284344	jg31894	3929
scaffold_1	13287705	scaffold_1	13285443	13287537	jg31895	1215
scaffold_1	13287705	scaffold_1	13287952	13289226	jg31896	884
scaffold_1	13287705	scaffold_1	13291108	13293844	jg31897	4771
scaffold_1	13299464	scaffold_1	13294190	13297907	jg31898	3415.5
scaffold_1	13443387	scaffold_1	13440085	13440772	jg31926	2958.5
scaffold_1	13443387	scaffold_1	13446811	13448642	jg31927	4339.5
scaffold_1	13966902	scaffold_1	13961939	13962911	jg32038	4477
scaffold_1	13966902	scaffold_1	13965449	13966821	jg32039	767
scaffold_1	14142238	scaffold_1	14138478	14138678	jg32075	3660
scaffold_1	14142238	scaffold_1	14144975	14145463	jg32076	2981
scaffold_1	14251790	scaffold_1	14252296	14255918	jg32102	2317
scaffold_1	15046011	scaffold_1	15040762	15043394	jg32248	3933
scaffold_1	15046011	scaffold_1	15045660	15046145	jg32249	108.5
scaffold_1	15046011	scaffold_1	15048743	15052558	jg32250	4639.5
scaffold_1	15139403	scaffold_1	15140647	15141567	jg32265	1704
scaffold_1	15263799	scaffold_1	15259297	15261384	jg32277	3458.5
scaffold_1	15263799	scaffold_1	15261483	15262262	jg32278	1926.5
scaffold_1	15263799	scaffold_1	15262291	15263438	jg32279	934.5
scaffold_1	15454827	scaffold_1	15455771	15456763	jg32315	1440
scaffold_1	16098503	scaffold_1	16095028	16097238	jg32425	2370
scaffold_1	16098503	scaffold_1	16098857	16101405	jg32426	1628
scaffold_1	16994509	scaffold_1	16995214	16999225	jg32499	2710.5
scaffold_1	17614367	scaffold_1	17609588	17611227	jg32609	3959.5
scaffold_1	17614367	scaffold_1	17618713	17619411	jg32610	4695
scaffold_1	17620997	scaffold_1	17618713	17619411	jg32610	1935
scaffold_1	17620997	scaffold_1	17620624	17620884	jg32611	243
scaffold_1	17826181	scaffold_1	17823763	17826106	jg32643	1246.5
scaffold_1	17826181	scaffold_1	17826498	17827664	jg32644	900
scaffold_1	17826181	scaffold_1	17828597	17831155	jg32645	3695
scaffold_1	17886754	scaffold_1	17886603	17891056	jg32652	2075.5
scaffold_1	18232792	scaffold_1	18232185	18232848	jg32718	275.5
scaffold_1	18268868	scaffold_1	18264304	18265750	jg32728	3841
scaffold_1	18268868	scaffold_1	18270921	18272310	jg32729	2747.5
scaffold_1	18342723	scaffold_1	18337295	18339687	jg32739	4232
scaffold_1	18459905	scaffold_1	18454474	18455730	jg32770	4803
scaffold_1	18459905	scaffold_1	18458634	18459740	jg32771	718
scaffold_1	18459905	scaffold_1	18460067	18460312	jg32772	284.5
scaffold_1	18459905	scaffold_1	18463759	18464667	jg32773	4308
scaffold_1	18480807	scaffold_1	18479621	18480322	jg32775	835.5
scaffold_1	18480807	scaffold_1	18480604	18482858	jg32776	924
