annotation	A_lyrata_NCBI
jg28432	XP_020867970.1
jg28433	XP_002892038.1
jg28434	XP_020867965.1
jg28511	XP_020866515.1
jg28512	XP_020866514.1
jg28513	XP_020866513.1
jg28576	XP_020869120.1
jg28577	XP_020868826.1
jg28579	XP_020869119.1
jg28580	XP_002889416.2
jg28628	XP_020869906.1
jg28629	XP_002892148.1
jg28630	XP_002892149.1
jg28631	XP_002889439.2
jg28634	XP_002889441.2
jg28635	XP_020868080.1
jg28641	XP_002892154.1
jg28642	XP_020870316.1
jg28643	XP_002889449.1
jg28884	XP_020868613.1
jg28885	XP_020869673.1
jg29127	XP_020870227.1
jg29128	XP_002892415.1
jg29172	XP_002889679.1
jg29173	XP_002892435.1
jg29172	XP_002889679.1
jg29173	XP_002892435.1
jg29172	XP_002889679.1
jg29173	XP_002892435.1
jg29173	XP_002892435.1
jg29174	XP_002889680.1
jg29505	XP_002889842.1
jg29506	XP_002889843.1
jg29507	XP_002892612.1
jg29548	XP_002892631.1
jg29550	XP_020869015.1
jg29729	XP_020869514.1
jg29730	XP_020869520.1
jg29732	XP_020869518.1
jg29877	XP_020870495.1
jg29878	XP_020869725.1
jg29879	XP_020869724.1
jg30356	XP_020869444.1
jg30357	XP_020868145.1
jg30358	XP_002892999.1
jg30503	XP_020867750.1
jg30680	XP_002890437.2
jg30681	XP_002893159.1
jg30720	XP_020866892.1
jg30721	XP_020866894.1
jg30722	XP_020866889.1
jg30779	XP_002893215.1
jg30780	XP_020867712.1
jg30781	XP_020867711.1
jg30877	XP_002890566.1
jg30878	XP_020866673.1
jg31045	XP_020870718.1
jg31046	XP_002893370.1
jg31411	XP_020867308.1
jg31529	XP_020868696.1
jg31551	XP_020869707.1
jg31690	XP_002890921.1
jg31691	XP_002893672.1
jg31692	XP_020866433.1
jg31971	XP_020869884.1
jg31973	XP_020869727.1
jg32060	XP_002893792.1
jg32078	XP_020868496.1
jg32081	XP_020881794.1
jg32117	XP_020867314.1
jg32118	XP_020867316.1
jg32223	XP_020868751.1
jg32224	XP_020868753.1
jg32230	XP_002893885.1
jg32265	XP_020866508.1
jg32314	XP_002893919.1
jg32334	XP_020884776.1
jg32335	XP_020871766.1
jg32342	XP_020872149.1
jg32539	XP_020870458.1
jg32718	XP_002894024.2
jg32762	XP_002891348.1
jg32763	XP_002891349.1, XP_002885478.1
jg32764	XP_002894039.2
jg32779	XP_002891362.1
jg32782	XP_002894051.1
jg32876	XP_020866173.1
jg32877	XP_002894090.1, XP_002891407.1
jg32878	XP_020868223.1
jg33075	XP_020866729.1
jg33076	XP_002891521.1
jg33077	XP_002891522.1
jg33145	XP_020866727.1
jg33266	XP_002894301.1
jg33386	XP_020868058.1
jg33412	XP_020868001.1
jg33675	XP_002891818.1
jg33676	XP_020868426.1
jg357	XP_020865663.1, XP_020891654.1
jg358	XP_020889713.1
