annotation	A_lyrata_NCBI
jg28818	XP_020870547.1
jg28819	XP_002892254.1
jg28820	XP_020870369.1
jg28876	XP_020866998.1
jg29236	XP_002889712.1
jg29237	XP_002889713.1
jg29238	XP_002889714.1
jg29353	XP_020868178.1
jg29354	XP_002889771.1
jg29353	XP_020868178.1
jg29354	XP_002889771.1
jg29739	XP_020869540.1
jg29740	XP_002889972.1
jg29741	XP_002892715.1
jg29844	XP_002890020.1
jg29845	XP_002890021.2
jg30153	XP_020867776.1
jg30154	XP_002890185.1
jg30155	XP_002892918.1
jg30156	XP_002890186.1
jg30157	XP_020866530.1
jg30369	XP_020867086.1
jg30370	XP_002890278.1
jg30371	XP_020866417.1
jg30984	XP_002893327.1
jg31028	XP_020868235.1
jg31029	XP_002893358.1
jg31030	XP_020868236.1
jg31031	XP_020869227.1
jg31059	XP_020866648.1
jg31061	XP_020866647.1
jg31122	XP_020868575.1
jg31123	XP_020868573.1
jg31371	XP_020866525.1
jg31411	XP_020867308.1
jg31486	XP_020870540.1
jg31487	XP_020867241.1
jg31655	XP_020870636.1
jg31727	XP_002891127.1
jg31728	XP_020870584.1
jg31797	XP_002890944.2
jg32038	XP_002891062.1
jg32039	XP_020868524.1
jg32049	XP_002893792.1
jg32050	XP_002893793.1
jg32072	XP_020868508.1
jg32073	XP_002893800.1, XP_020868858.1, XP_002872461.1
jg32076	XP_020866115.1
jg32078	XP_020868496.1
jg32142	XP_002891110.1
jg32262	XP_020883142.1
jg32330	XP_002893922.1
jg32375	XP_020866534.1
jg32529	XP_020867079.1
jg32539	XP_020870458.1
jg32539	XP_020870458.1
jg32610	XP_002893986.1
jg32681	XP_002894007.1
jg32682	XP_002891313.1
jg32806	XP_002894064.1
jg32809	XP_020870052.1
jg32811	XP_020869567.1
jg32877	XP_002894090.1, XP_002891407.1
jg32878	XP_020868223.1
jg32885	XP_020868362.1
jg32951	XP_020866569.1
jg32964	XP_020869734.1
jg32965	XP_020873756.1
jg33024	XP_020870859.1
jg33119	XP_020866731.1
jg33121	XP_002863355.2, XP_002891543.1
jg33122	XP_020866735.1
jg33128	XP_002894226.1
jg33129	XP_020866704.1
jg33130	XP_002891549.1
jg33376	XP_002894345.1
jg33377	XP_002894346.1
jg33378	XP_020868345.1
jg33433	XP_002891698.2
jg33434	XP_020867992.1
jg33675	XP_002891818.1
jg33676	XP_020868426.1
jg368	XP_002887870.1
jg378	XP_002887880.1
jg379	XP_020889977.1
jg536	XP_002886401.1
jg537	XP_020890701.1
jg538	XP_020865792.1
jg539	XP_020865860.1
jg540	XP_020891228.1
jg541	XP_002886411.1, XP_020890370.1
jg646	XP_002888009.1
jg681	XP_020865871.1
jg682	XP_002888026.2
jg760	XP_020891309.1
jg1106	XP_002888203.2
jg1107	XP_020890301.1
jg1198	XP_002886704.1
jg1199	XP_002888232.2
jg1331	XP_002891999.2
jg1345	XP_020869996.1
jg1351	XP_002891991.1
jg1352	XP_002891990.2
jg1355	XP_020870762.1
jg1457	XP_002894621.2
jg1458	XP_002894621.2
jg1520	XP_020868131.1
jg1523	XP_002894598.1
jg1524	XP_020866224.1
jg1525	XP_002894596.1
jg1526	XP_020869314.1
jg1524	XP_020866224.1
jg1525	XP_002894596.1
jg1526	XP_020869314.1
jg1776	XP_020886341.1, XP_020866257.1, XP_020880752.1
jg1957	XP_020865697.1
jg1957	XP_020865697.1
