annotation	A_thaliana
jg28905	AT1G05640.1
jg28906	AT1G05650.1
jg28907	AT1G05660.1
jg29117	AT1G07650.2
jg29118	AT1G07645.1
jg30393	AT1G18700.5
jg30984	AT1G24140.1
jg30985	AT1G24145.1
jg953	AT1G49930.1
jg954	AT1G60490.1
jg1182	AT1G58225.1
jg2097	AT1G66400.1
jg2107	AT5G32613.1
jg2108	AT5G32613.1
jg2109	AT1G66480.1
jg2927	AT1G72860.2
jg2928	AT1G72870.1
jg2929	AT1G72880.1
jg23952	AT3G18535.1
jg23953	AT3G01440.1
jg23954	AT3G01435.2
jg23955	AT3G01430.1
jg23956	AT3G01420.1
jg23957	AT3G01410.1
jg24818	AT3G09000.1
jg24819	AT3G09010.1
jg27914	AT2G17780.1
jg16522	AT2G21185.1
jg16523	AT2G21190.1
jg16524	AT2G21195.4
jg16525	AT2G21200.1
jg16889	AT2G24180.1
jg16890	AT2G24190.2
jg17619	AT2G27240.1
jg18797	AT2G36590.1
jg18798	AT2G36610.1
jg18799	AT2G36620.1
jg19098	AT3G43340.1
jg19571	AT2G42550.1
jg19572	AT2G42560.1
jg19573	AT2G42570.1
jg13020	AT2G02060.1
jg14251	AT3G45000.1
jg14275	AT3G45140.1
jg14379	AT3G45990.1
jg14380	AT3G46000.2
jg14381	AT3G46010.2
jg14392	AT3G46130.1
jg14880	AT3G50130.1
jg14881	AT3G50140.1, AT3G50190.1
jg14882	AT3G50150.1
jg15222	AT3G52960.1
jg15223	AT3G52970.2
jg5916	AT5G20540.1
jg6248	AT5G23990.2
jg6249	AT5G24000.1
jg6358	AT5G24860.2
jg6421	AT5G25380.4
jg6422	AT5G25410.1
jg7087	AT4G08455.1
jg7088	AT4G08460.1
jg7111	AT4G08620.1
jg7112	AT4G08620.1
jg7496	AT4G11290.1
jg7497	AT4G11300.1
jg8327	AT4G38620.1
jg9223	AT4G31770.1
jg9889	AT4G25760.1
jg9890	AT4G25750.1
jg10236	AT4G22890.1
jg10237	AT4G22880.1
jg10238	AT4G22860.1
jg10333	AT4G22070.1
jg10548	AT4G20230.2
jg10549	AT4G20190.1
jg10737	AT4G18550.2
jg10941	AT4G16760.1
jg10942	AT4G16750.1
jg12639	AT5G40320.1
jg20313	AT5G47320.1
jg20694	AT5G44574.1
jg20717	AT5G44480.1
jg20780	AT5G44130.1
jg20781	AT5G44120.3
jg20883	AT5G43390.1
jg20884	AT5G43380.1
jg20892	AT5G43360.1
jg20894	AT5G43360.1
jg20895	AT5G43360.1
jg20896	AT5G43360.1
jg20897	AT5G43360.1
jg21565	AT5G49320.1
jg21633	AT5G49850.1, AT5G49870.1
jg21657	AT5G50060.1
jg21658	AT5G50070.1
jg22363	AT5G55340.1
jg22364	AT5G55350.1
jg22365	AT5G55360.1
