annotation	A_thaliana
jg30159	AT1G16760.2
jg31422	AT1G20680.1
jg31423	AT1G29110.1
jg31424	AT1G29110.1
jg32652	AT1G44835.2
jg32779	AT1G47480.1
jg33444	AT1G52550.1
jg33445	AT1G52560.1
jg33447	AT1G52565.1
jg1115	AT1G58525.1
jg2097	AT1G66400.1
jg2433	AT1G68610.1
jg25782	AT3G17040.1
jg25784	AT3G17060.1
jg27772	AT2G16760.1
jg27773	AT2G16770.1
jg28206	AT2G22880.1
jg28207	AT2G19980.1
jg28208	AT2G19990.1
jg16889	AT2G24180.1
jg16890	AT2G24190.2
jg16891	AT2G24200.1
jg17291	AT3G42940.1
jg17292	AT3G42940.1
jg17297	AT2G26190.1
jg17810	AT2G28460.1
jg18142	AT2G30920.1
jg18296	AT2G32260.1
jg18357	AT2G32790.1
jg19036	AT2G38510.1
jg19037	AT2G38530.1
jg19038	AT2G38540.1
jg19039	AT2G38550.1
jg19321	AT2G40570.1
jg13337	AT3G26450.1, AT3G26460.1
jg14392	AT3G46130.1
jg14393	AT3G46140.1, AT3G45790.1
jg14394	AT3G46140.1, AT3G45790.1
jg14583	AT3G47800.1
jg14584	AT3G47810.1
jg14836	AT3G62740.1
jg15222	AT3G52960.1
jg15223	AT3G52970.2
jg4189	AT5G04390.1
jg5567	AT5G17340.1
jg5568	AT5G17350.1
jg6420	AT5G25380.4
jg7588	AT4G11900.1
jg7589	AT4G11910.1
jg7590	AT4G11911.1
jg7669	AT4G12620.1
jg9223	AT4G31770.1
jg9224	AT4G31760.1
jg9225	AT4G31750.1
jg9226	AT4G31740.1
jg9949	AT4G25210.1
jg9950	AT4G25200.1
jg9951	AT4G25190.2
jg10726	AT4G18620.1
jg11618	AT4G13070.1
jg11856	AT5G33370.1
jg12103	AT5G36970.1
jg12485	AT5G39250.1
jg12486	AT5G39260.1
jg20974	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20975	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20976	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg21990	AT5G52830.1
jg23604	AT5G65830.1
